Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Household and dwelling characteristics,    Apartment in a building that has fewer than five storeys,,5690,,,...,,...,522810,,,...,,...
Household and dwelling characteristics,    Other single-attached house,,105,,,...,,...,10910,,,...,,...
Household and dwelling characteristics,  Movable dwelling,7,60,,,...,,...,14890,,,...,,...
Household and dwelling characteristics,Total - Private households by household size - 100% data,8,71375,,,...,,...,5169170,,,...,,...
Household and dwelling characteristics,  1 person,,17705,,,...,,...,1341300,,,...,,...
Household and dwelling characteristics,  2 persons,,24190,,,...,,...,1693525,,,...,,...
Household and dwelling characteristics,  3 persons,,11545,,,...,,...,834260,,,...,,...
Household and dwelling characteristics,  4 persons,,12395,,,...,,...,796320,,,...,,...
Household and dwelling characteristics,  5 or more persons,,5535,,,...,,...,503775,,,...,,...
Household and dwelling characteristics,Number of persons in private households,,180125,,,...,,...,13242160,,,...,,...
Household and dwelling characteristics,Average household size,,2.5,,,...,,...,2.6,,,...,,...
Marital status,Total - Marital status for the population aged 15 years and over - 100% data,9,152650,,72145,,80510,,11240525,,5427775,,5812750,
Marital status,  Married or living common law,,92680,,46200,,46480,,6438085,,3219290,,3218795,
Marital status,    Married,,81430,,40610,,40820,,5531930,,2764275,,2767655,
Marital status,    Living common law,,11250,,5585,,5660,,906155,,455015,,451145,
Marital status,  Not married and not living common law,,59970,,25945,,34025,,4802440,,2208485,,2593955,
Marital status,    Never married,,36730,,19280,,17460,,3182785,,1689180,,1493605,
Marital status,    Separated,,4425,,1770,,2655,,328675,,138140,,190535,
Marital status,    Divorced,,9305,,2985,,6315,,653835,,252900,,400935,
Marital status,    Widowed,,9505,,1910,,7595,,637150,,128265,,508880,
Family characteristics,Total - Census families in private households by family size - 100% data,10,53280,,,...,,...,3782540,,,...,,...
Family characteristics,  2 persons,,25245,,,...,,...,1815000,,,...,,...
Family characteristics,  3 persons,,11630,,,...,,...,844545,,,...,,...
Family characteristics,  4 persons,,12305,,,...,,...,792435,,,...,,...
Family characteristics,  5 or more persons,,4100,,,...,,...,330560,,,...,,...
Family characteristics,Average size of census families,,2.9,,,...,,...,2.9,,,...,,...
Family characteristics,Total number of census families in private households - 100% data,11,53280,,,...,,...,3782545,,,...,,...
Family characteristics,  Total couple families,,45460,,,...,,...,3137570,,,...,,...
Family characteristics,    Married couples,,39845,,,...,,...,2684735,,,...,,...
Family characteristics,    Common-law couples,,5615,,,...,,...,452840,,,...,,...
Family characteristics,  Total lone-parent families by sex of parent,,7820,,,...,,...,644975,,,...,,...
Family characteristics,    Female parent,,6200,,,...,,...,518480,,,...,,...
Family characteristics,    Male parent,,1620,,,...,,...,126495,,,...,,...
Family characteristics,Total - Couple census families in private households - 100% data,,45465,,,...,,...,3137565,,,...,,...
Family characteristics,  Couples without children,,20610,,,...,,...,1428575,,,...,,...
Family characteristics,  Couples with children,,24855,,,...,,...,1708995,,,...,,...
Family characteristics,    1 child,,9180,,,...,,...,658305,,,...,,...
Family characteristics,    2 children,,11705,,,...,,...,738710,,,...,,...
Family characteristics,    3 or more children,,3970,,,...,,...,311975,,,...,,...
Family characteristics,Total - Lone-parent census families in private households - 100% data,,7815,,,...,,...,644975,,,...,,...
Family characteristics,  1 child,,4635,,,...,,...,386425,,,...,,...
Family characteristics,  2 children,,2450,,,...,,...,186240,,,...,,...
Family characteristics,  3 or more children,,730,,,...,,...,72310,,,...,,...
Family characteristics,Total - Persons not in census families in private households - 100% data,,24080,,9675,,14405,,2139825,,990525,,1149300,
Household type,Total - Private households by household type - 100% data,12,71370,,,...,,...,5169175,,,...,,...
Household type,  One-census-family households,,50880,,,...,,...,3481885,,,...,,...
Household type,    Without children in a census family,13,19585,,,...,,...,1311575,,,...,,...
Household type,    With children in a census family,14,31295,,,...,,...,2170315,,,...,,...
Household type,  Multiple-census-family households,,1175,,,...,,...,145615,,,...,,...
Household type,  Non-census-family households,,19315,,,...,,...,1541665,,,...,,...
Household type,    One-person households,,17710,,,...,,...,1341305,,,...,,...
Household type,    Two-or-more person non-census-family households,,1605,,,...,,...,200365,,,...,,...
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,15,181150,,87270,,93880,,13312865,,6503875,,6808990,
Knowledge of official languages,  English only,,163410,,79905,,83510,,11455500,,5689830,,5765665,
Knowledge of official languages,  French only,,95,,40,,55,,40040,,17340,,22705,
Knowledge of official languages,  English and French,,16150,,6740,,9410,,1490390,,665850,,824540,
Knowledge of official languages,  Neither English nor French,,1495,,585,,910,,326935,,130850,,196085,
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,16,181150,,87270,,93885,,13312865,,6503880,,6808995,
First official language spoken,  English,,175885,,85025,,90860,,12394325,,6095970,,6298355,
First official language spoken,  French,,2970,,1280,,1685,,504130,,236875,,267250,
First official language spoken,  English and French,,835,,400,,440,,92940,,42910,,50030,
First official language spoken,  Neither English nor French,,1455,,565,,890,,321480,,128125,,193355,
First official language spoken,Official language minority (number),17,3385,,1480,,1905,,550600,,258330,,292270,
First official language spoken,Official language minority (percentage),17,1.9,,1.7,,2,,4.1,,4,,4.3,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,181150,,87265,,93885,,13312870,,6503875,,6808990,
Mother tongue,  Single responses,,177790,,85665,,92125,,12946960,,6327630,,6619330,
Mother tongue,    Official languages,,145580,,70615,,74960,,9393040,,4637520,,4755520,
Mother tongue,      English,,142605,,69345,,73265,,8902320,,4406210,,4496110,
Mother tongue,      French,,2970,,1270,,1695,,490715,,231310,,259410,
Mother tongue,    Non-official languages,,32210,,15045,,17165,,3553920,,1690110,,1863810,
Mother tongue,      Aboriginal languages,,5,,5,,5,,22765,,10815,,11950,
Mother tongue,        Algonquian languages,,5,,0,,5,,21235,,10175,,11060,
Mother tongue,          Blackfoot,,0,,0,,0,,10,,5,,5,
Mother tongue,          Cree-Montagnais languages,,0,,0,,0,,5080,,2485,,2595,
Mother tongue,            Atikamekw,,0,,0,,0,,5,,0,,0,
Mother tongue,            Montagnais (Innu),,0,,0,,0,,5,,5,,5,
Mother tongue,            Moose Cree,,0,,0,,0,,85,,40,,45,
Mother tongue,            Naskapi,,0,,0,,0,,10,,5,,5,
Mother tongue,            Northern East Cree,,0,,0,,0,,55,,25,,30,
Mother tongue,            Plains Cree,,0,,0,,0,,35,,5,,30,
Mother tongue,            Southern East Cree,,0,,0,,0,,5,,0,,0,
Mother tongue,            Swampy Cree,,0,,0,,0,,355,,135,,225,
Mother tongue,            Woods Cree,,0,,0,,0,,15,,10,,5,
Mother tongue,            Cree; n.o.s.,,0,,0,,0,,4500,,2255,,2245,
Mother tongue,          Eastern Algonquian languages,,0,,0,,0,,90,,40,,50,
Mother tongue,            Malecite,,0,,0,,0,,10,,5,,0,
Mother tongue,            Mi'kmaq,,0,,0,,0,,85,,35,,50,
Mother tongue,          Ojibway-Potawatomi languages,,0,,0,,0,,16025,,7620,,8400,
Mother tongue,            Algonquin,,0,,0,,0,,65,,30,,35,
Mother tongue,            Ojibway,,0,,0,,0,,9505,,4515,,4985,
Mother tongue,            Oji-Cree,,0,,0,,0,,6310,,3015,,3300,
Mother tongue,            Ottawa (Odawa),,0,,0,,0,,145,,65,,80,
Mother tongue,          Algonquian languages; n.i.e.,,0,,0,,0,,30,,20,,10,
Mother tongue,        Athabaskan languages,,0,,0,,0,,60,,20,,40,
Mother tongue,          Northern Athabaskan languages,,0,,0,,0,,55,,20,,35,
Mother tongue,            Babine (Wetsuwet'en),,0,,0,,0,,0,,0,,0,
Mother tongue,            Beaver,,0,,0,,0,,0,,0,,0,
Mother tongue,            Carrier,,0,,0,,0,,5,,0,,5,
Mother tongue,            Chilcotin,,0,,0,,0,,5,,0,,5,
Mother tongue,            Dene,,0,,0,,0,,20,,10,,10,
Mother tongue,            Dogrib (Tlicho),,0,,0,,0,,5,,5,,5,
Mother tongue,            Gwich'in,,0,,0,,0,,0,,0,,0,
Mother tongue,            Sarsi (Sarcee),,0,,0,,0,,10,,0,,5,
Mother tongue,            Sekani,,0,,0,,0,,0,,0,,0,
Mother tongue,            Slavey-Hare languages,,0,,0,,0,,5,,5,,0,
Mother tongue,              North Slavey (Hare),,0,,0,,0,,0,,0,,0,
Mother tongue,              South Slavey,,0,,0,,0,,0,,0,,0,
Mother tongue,              Slavey; n.o.s.,,0,,0,,0,,0,,0,,5,
Mother tongue,            Tahltan languages,,0,,0,,0,,0,,0,,0,
Mother tongue,              Kaska (Nahani),,0,,0,,0,,0,,0,,0,
Mother tongue,              Tahltan,,0,,0,,0,,0,,0,,0,
Mother tongue,            Tutchone languages,,0,,0,,0,,0,,0,,5,
Mother tongue,              Northern Tutchone,,0,,0,,0,,0,,0,,0,
Mother tongue,              Southern Tutchone,,0,,0,,0,,0,,0,,0,
Mother tongue,          Athabaskan languages; n.i.e.,,0,,0,,0,,5,,0,,5,
Mother tongue,        Haida,,0,,0,,0,,0,,5,,0,
Mother tongue,        Inuit languages,,0,,0,,0,,475,,165,,305,
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0,,0,,0,,5,,5,,5,
Mother tongue,          Inuktitut,,0,,0,,0,,425,,145,,280,
Mother tongue,          Inuit languages; n.i.e.,,0,,0,,0,,45,,20,,25,
Mother tongue,        Iroquoian languages,,0,,0,,0,,710,,300,,410,
Mother tongue,          Cayuga,,0,,0,,0,,40,,20,,20,
Mother tongue,          Mohawk,,0,,0,,0,,590,,255,,335,
Mother tongue,          Oneida,,0,,0,,0,,55,,15,,40,
Mother tongue,          Iroquoian languages; n.i.e.,,0,,0,,0,,20,,5,,15,
Mother tongue,        Kutenai,,0,,0,,0,,0,,0,,0,
Mother tongue,        Michif,,0,,0,,0,,25,,15,,15,
Mother tongue,        Salish languages,,0,,0,,0,,5,,0,,5,
Mother tongue,          Comox,,0,,0,,0,,0,,0,,0,
Mother tongue,          Halkomelem,,0,,0,,0,,0,,0,,0,
Mother tongue,          Lillooet,,0,,0,,0,,0,,0,,0,
Mother tongue,          Okanagan,,0,,0,,0,,0,,0,,0,
Mother tongue,          Shuswap (Secwepemctsin),,0,,0,,0,,5,,0,,0,
Mother tongue,          Squamish,,0,,0,,0,,0,,0,,0,
Mother tongue,          Straits,,0,,0,,0,,0,,0,,0,
Mother tongue,          Thompson (Ntlakapamux),,0,,0,,0,,0,,0,,0,
Mother tongue,          Salish languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Siouan languages,,0,,0,,0,,10,,5,,5,
Mother tongue,          Dakota,,0,,0,,0,,5,,5,,5,
Mother tongue,          Stoney,,0,,0,,0,,0,,0,,0,
Mother tongue,          Siouan languages; n.i.e.,,0,,0,,0,,10,,5,,5,
Mother tongue,        Tlingit,,0,,0,,0,,0,,0,,0,
Mother tongue,        Tsimshian languages,,0,,0,,0,,5,,5,,0,
Mother tongue,          Gitxsan (Gitksan),,0,,0,,0,,0,,0,,5,
Mother tongue,          Nisga'a,,0,,0,,0,,5,,0,,0,
Mother tongue,          Tsimshian,,0,,0,,0,,0,,5,,0,
Mother tongue,        Wakashan languages,,0,,0,,0,,0,,0,,5,
Mother tongue,          Haisla,,0,,0,,0,,0,,0,,0,
Mother tongue,          Heiltsuk,,0,,0,,0,,0,,0,,0,
Mother tongue,          Kwakiutl (Kwak'wala),,0,,0,,0,,0,,0,,0,
Mother tongue,          Nuu-chah-nulth (Nootka),,0,,0,,0,,5,,5,,0,
Mother tongue,          Wakashan languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Mother tongue,        Aboriginal languages; n.o.s.,,5,,0,,0,,235,,130,,105,
Mother tongue,      Non-Aboriginal languages,,32205,,15040,,17160,,3531160,,1679300,,1851865,
Mother tongue,        Afro-Asiatic languages,,2475,,1290,,1190,,253830,,127720,,126110,
Mother tongue,          Berber languages,,10,,5,,5,,725,,405,,320,
Mother tongue,            Kabyle,,0,,0,,5,,425,,225,,200,
Mother tongue,            Berber languages; n.i.e.,,10,,10,,5,,305,,180,,120,
Mother tongue,          Cushitic languages,,30,,10,,20,,24605,,10730,,13870,
Mother tongue,            Bilen,,0,,0,,0,,250,,140,,110,
Mother tongue,            Oromo,,10,,0,,5,,1445,,720,,730,
Mother tongue,            Somali,,20,,10,,10,,22680,,9755,,12925,
Mother tongue,            Cushitic languages; n.i.e.,,0,,0,,0,,225,,115,,110,
Mother tongue,          Semitic languages,,2435,,1270,,1160,,227985,,116320,,111665,
Mother tongue,            Amharic,,20,,10,,10,,10720,,4960,,5760,
Mother tongue,            Arabic,,2205,,1160,,1045,,171370,,88400,,82965,
Mother tongue,            Assyrian Neo-Aramaic,,50,,25,,25,,14555,,7135,,7420,
Mother tongue,            Chaldean Neo-Aramaic,,30,,15,,15,,4795,,2365,,2425,
Mother tongue,            Harari,,5,,0,,0,,1030,,485,,545,
Mother tongue,            Hebrew,,30,,15,,10,,11575,,6220,,5350,
Mother tongue,            Maltese,,60,,25,,40,,5175,,2575,,2600,
Mother tongue,            Tigrigna,,5,,0,,0,,7345,,3470,,3870,
Mother tongue,            Semitic languages; n.i.e.,,15,,5,,15,,1435,,705,,730,
Mother tongue,          Afro-Asiatic languages; n.i.e.,,5,,0,,5,,520,,265,,250,
Mother tongue,        Austro-Asiatic languages,,370,,150,,215,,78125,,35880,,42240,
Mother tongue,          Khmer (Cambodian),,20,,10,,10,,7355,,3330,,4020,
Mother tongue,          Vietnamese,,350,,145,,205,,70690,,32520,,38165,
Mother tongue,          Austro-Asiatic languages; n.i.e,,0,,0,,0,,85,,30,,50,
Mother tongue,        Austronesian languages,,1535,,575,,960,,194380,,76060,,118315,
Mother tongue,          Bikol,,0,,0,,0,,595,,260,,330,
Mother tongue,          Cebuano,,55,,25,,30,,6545,,2500,,4045,
Mother tongue,          Fijian,,0,,0,,0,,80,,45,,40,
Mother tongue,          Hiligaynon,,15,,10,,10,,2750,,1030,,1725,
Mother tongue,          Ilocano,,85,,40,,45,,11285,,4430,,6860,
Mother tongue,          Malagasy,,0,,0,,0,,100,,45,,55,
Mother tongue,          Malay,,40,,10,,25,,5760,,2520,,3240,
Mother tongue,          Pampangan (Kapampangan; Pampango),,25,,15,,15,,1505,,670,,840,
Mother tongue,          Pangasinan,,0,,0,,0,,535,,215,,315,
Mother tongue,          Tagalog (Pilipino; Filipino),,1290,,470,,815,,163415,,63665,,99755,
Mother tongue,          Waray-Waray,,0,,0,,0,,405,,140,,270,
Mother tongue,          Austronesian languages; n.i.e.,,20,,10,,15,,1400,,550,,850,
Mother tongue,        Creole languages,,25,,15,,10,,11255,,5095,,6165,
Mother tongue,          Haitian Creole,,0,,5,,0,,630,,290,,340,
Mother tongue,          Creole; n.o.s.,,15,,10,,5,,8025,,3580,,4440,
Mother tongue,          Creole languages; n.i.e.,,15,,10,,5,,2605,,1225,,1380,
Mother tongue,        Dravidian languages,,425,,210,,215,,148605,,73530,,75075,
Mother tongue,          Kannada,,35,,15,,20,,2670,,1365,,1305,
Mother tongue,          Malayalam,,150,,75,,70,,17140,,8795,,8350,
Mother tongue,          Tamil,,185,,90,,100,,117630,,57310,,60320,
Mother tongue,          Telugu,,55,,30,,30,,10820,,5895,,4925,
Mother tongue,          Dravidian languages; n.i.e.,,0,,0,,0,,340,,165,,175,
Mother tongue,        Hmong-Mien languages,,0,,0,,0,,525,,250,,270,
Mother tongue,        Indo-European languages,,22465,,10600,,11860,,2024365,,980200,,1044165,
Mother tongue,          Albanian,,155,,75,,85,,19045,,9535,,9510,
Mother tongue,          Armenian,,80,,45,,40,,15070,,7305,,7765,
Mother tongue,          Balto-Slavic languages,,6890,,3110,,3780,,410725,,188695,,222025,
Mother tongue,            Baltic languages,,200,,80,,120,,9080,,3785,,5295,
Mother tongue,              Latvian,,75,,30,,45,,3910,,1650,,2260,
Mother tongue,              Lithuanian,,125,,55,,75,,5175,,2135,,3035,
Mother tongue,            Slavic languages,,6690,,3030,,3660,,401645,,184915,,216730,
Mother tongue,              Belarusan,,5,,0,,0,,515,,230,,280,
Mother tongue,              Bosnian,,95,,50,,45,,6370,,3125,,3245,
Mother tongue,              Bulgarian,,115,,55,,65,,9095,,4355,,4740,
Mother tongue,              Croatian,,875,,440,,440,,31875,,15460,,16410,
Mother tongue,              Czech,,250,,105,,145,,10670,,4930,,5740,
Mother tongue,              Macedonian,,150,,70,,80,,15635,,7470,,8165,
Mother tongue,              Polish,,2365,,1055,,1310,,121075,,54675,,66405,
Mother tongue,              Russian,,860,,365,,495,,101100,,45630,,55470,
Mother tongue,              Serbian,,905,,435,,470,,41740,,20585,,21150,
Mother tongue,              Serbo-Croatian,,100,,45,,55,,4875,,2310,,2570,
Mother tongue,              Slovak,,200,,85,,120,,10280,,4710,,5565,
Mother tongue,              Slovene (Slovenian),,145,,70,,75,,6740,,2995,,3745,
Mother tongue,              Ukrainian,,600,,245,,355,,40375,,17760,,22610,
Mother tongue,              Slavic languages; n.i.e.,,10,,5,,5,,1310,,670,,635,
Mother tongue,          Celtic languages,,25,,10,,15,,1110,,505,,605,
Mother tongue,            Scottish Gaelic,,5,,0,,0,,450,,210,,240,
Mother tongue,            Welsh,,15,,5,,10,,435,,180,,260,
Mother tongue,            Celtic languages; n.i.e.,,0,,0,,0,,225,,120,,110,
Mother tongue,          Germanic languages,,3075,,1345,,1725,,200640,,94475,,106165,
Mother tongue,            Afrikaans,,85,,35,,40,,2295,,1125,,1170,
Mother tongue,            Danish,,115,,55,,65,,4265,,2010,,2250,
Mother tongue,            Dutch,,1080,,480,,595,,51720,,24875,,26840,
Mother tongue,            Frisian,,15,,10,,5,,1240,,630,,620,
Mother tongue,            German,,1645,,710,,935,,131525,,61520,,70005,
Mother tongue,            Icelandic,,15,,10,,10,,210,,100,,110,
Mother tongue,            Norwegian,,20,,10,,15,,940,,405,,540,
Mother tongue,            Swedish,,50,,25,,30,,2395,,1040,,1350,
Mother tongue,            Vlaams (Flemish),,25,,10,,15,,2150,,925,,1225,
Mother tongue,            Yiddish,,10,,5,,5,,3735,,1765,,1970,
Mother tongue,            Germanic languages; n.i.e.,,5,,0,,0,,170,,80,,85,
Mother tongue,          Greek,,410,,200,,205,,55415,,27305,,28110,
Mother tongue,          Indo-Iranian languages,,5135,,2570,,2565,,707845,,357350,,350495,
Mother tongue,            Indo-Aryan languages,,4180,,2105,,2075,,565600,,285720,,279875,
Mother tongue,              Bengali,,165,,90,,75,,46810,,23615,,23195,
Mother tongue,              Gujarati,,515,,260,,260,,76675,,38740,,37940,
Mother tongue,              Hindi,,515,,265,,245,,58735,,29805,,28930,
Mother tongue,              Kashmiri,,5,,5,,0,,345,,170,,175,
Mother tongue,              Konkani,,15,,10,,10,,2510,,1195,,1315,
Mother tongue,              Marathi,,40,,15,,20,,5490,,2805,,2685,
Mother tongue,              Nepali,,45,,20,,25,,7870,,3915,,3960,
Mother tongue,              Oriya (Odia),,5,,5,,0,,715,,380,,335,
Mother tongue,              Punjabi (Panjabi),,1795,,885,,915,,197060,,100160,,96895,
Mother tongue,              Sindhi,,40,,25,,15,,6840,,3225,,3615,
Mother tongue,              Sinhala (Sinhalese),,115,,55,,60,,10165,,4925,,5235,
Mother tongue,              Urdu,,915,,480,,435,,152385,,76795,,75595,
Mother tongue,            Iranian languages,,915,,445,,465,,139675,,70270,,69405,
Mother tongue,              Kurdish,,20,,10,,10,,6665,,3615,,3050,
Mother tongue,              Pashto,,115,,55,,65,,10950,,5630,,5315,
Mother tongue,              Persian (Farsi),,770,,380,,390,,122070,,61025,,61040,
Mother tongue,            Indo-Iranian languages; n.i.e.,,45,,25,,20,,2565,,1350,,1215,
Mother tongue,          Italic (Romance) languages,,6695,,3240,,3460,,614525,,295030,,319490,
Mother tongue,            Catalan,,5,,0,,5,,285,,150,,135,
Mother tongue,            Italian,,1845,,960,,885,,231040,,112440,,118600,
Mother tongue,            Portuguese,,1545,,770,,775,,150000,,72280,,77715,
Mother tongue,            Romanian,,620,,285,,335,,41755,,19565,,22190,
Mother tongue,            Spanish,,2680,,1220,,1460,,191025,,90390,,100630,
Mother tongue,            Italic (Romance) languages; n.i.e.,,5,,0,,5,,420,,200,,215,
Mother tongue,        Japanese,,135,,50,,85,,13260,,4590,,8670,
Mother tongue,        Kartvelian languages,,5,,0,,0,,1200,,635,,565,
Mother tongue,          Georgian,,5,,5,,5,,1200,,635,,565,
Mother tongue,        Korean,,795,,345,,450,,69775,,32035,,37740,
Mother tongue,        Mongolic languages,,0,,0,,0,,405,,180,,220,
Mother tongue,          Mongolian,,0,,0,,0,,405,,180,,225,
Mother tongue,        Niger-Congo languages,,225,,95,,125,,35760,,16705,,19050,
Mother tongue,          Akan (Twi),,60,,25,,35,,9695,,4510,,5190,
Mother tongue,          Bamanankan,,0,,0,,0,,140,,60,,80,
Mother tongue,          Edo,,5,,0,,5,,1140,,475,,670,
Mother tongue,          Ewe,,0,,5,,0,,560,,270,,295,
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0,,365,,180,,185,
Mother tongue,          Ga,,0,,0,,0,,600,,275,,325,
Mother tongue,          Ganda,,0,,0,,0,,760,,360,,400,
Mother tongue,          Igbo,,15,,5,,5,,2090,,1080,,1010,
Mother tongue,          Lingala,,0,,0,,0,,850,,365,,485,
Mother tongue,          Rundi (Kirundi),,5,,5,,0,,1430,,640,,785,
Mother tongue,          Kinyarwanda (Rwanda),,5,,0,,5,,1330,,545,,785,
Mother tongue,          Shona,,30,,10,,15,,1455,,660,,790,
Mother tongue,          Swahili,,30,,15,,15,,5525,,2540,,2985,
Mother tongue,          Wolof,,0,,5,,5,,290,,145,,150,
Mother tongue,          Yoruba,,25,,10,,15,,4365,,2260,,2105,
Mother tongue,          Niger-Congo languages; n.i.e.,,50,,25,,25,,5155,,2345,,2810,
Mother tongue,        Nilo-Saharan languages,,15,,5,,5,,1610,,810,,800,
Mother tongue,          Dinka,,0,,0,,0,,345,,170,,175,
Mother tongue,          Nilo-Saharan languages; n.i.e.,,10,,5,,5,,1260,,635,,625,
Mother tongue,        Sign languages,,35,,20,,15,,3030,,1570,,1455,
Mother tongue,          American Sign Language,,20,,10,,10,,1305,,640,,670,
Mother tongue,          Quebec Sign Language,,0,,0,,0,,20,,10,,15,
Mother tongue,          Sign languages; n.i.e,,20,,10,,15,,1700,,925,,780,
Mother tongue,        Sino-Tibetan languages,,2520,,1135,,1385,,611795,,284865,,326935,
Mother tongue,          Chinese languages,,2490,,1120,,1370,,602610,,280340,,322270,
Mother tongue,            Cantonese,,765,,335,,425,,275315,,128090,,147220,
Mother tongue,            Hakka,,10,,5,,10,,6985,,3140,,3840,
Mother tongue,            Mandarin,,1555,,700,,850,,283735,,132275,,151460,
Mother tongue,            Min Dong,,0,,0,,0,,855,,405,,450,
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,70,,35,,35,,13545,,6240,,7300,
Mother tongue,            Wu (Shanghainese),,30,,15,,15,,6300,,2825,,3470,
Mother tongue,            Chinese; n.o.s.,,65,,30,,35,,15645,,7235,,8410,
Mother tongue,            Chinese languages; n.i.e.,,0,,0,,0,,240,,120,,120,
Mother tongue,          Tibeto-Burman languages,,25,,15,,15,,9185,,4520,,4660,
Mother tongue,            Burmese,,20,,10,,10,,1640,,775,,865,
Mother tongue,            Karenic languages,,0,,0,,0,,1730,,865,,860,
Mother tongue,            Tibetan,,0,,0,,0,,5115,,2530,,2585,
Mother tongue,            Tibeto-Burman languages; n.i.e.,,5,,5,,0,,700,,345,,350,
Mother tongue,        Tai-Kadai languages,,85,,25,,60,,8485,,3535,,4945,
