Board name,Website,Phone number,Street,City,Postal Code,Suite,PO Box,Province,Region,Fax,Board language,Board type,Board number
Grand Erie District School Board,"<a href=""www.granderie.ca"">www.granderie.ca</a>","<a href=""tel:+1519-756-6301"">519-756-6301</a>",349 Erie Avenue,Brantford,N3T&nbsp;5V3,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,519-756-9181,English,Public District School Board (English/French),B66168
Greater Essex County District School Board,"<a href=""http://www.publicboard.ca"">http://www.publicboard.ca</a>","<a href=""tel:+1519-255-3200"">519-255-3200</a>",451 Park Street West,Windsor,N9A&nbsp;6K1,"<abbr title=""not available"">N/A</abbr>",Box 210,Ontario,West Region,519-255-7053,English,Public District School Board (English/French),B66028
Halton Catholic District School Board,"<a href=""hcdsb.org"">hcdsb.org</a>","<a href=""tel:+1905-632-6300"">905-632-6300</a>",802 Drury Lane,Burlington,L7R&nbsp;2Y2,"<abbr title=""not available"">N/A</abbr>",Box 5308,Ontario,Central Region,905-333-4661,English,Catholic District School Board (English/French),B67113
Halton District School Board,"<a href=""http://www.hdsb.ca/"">http://www.hdsb.ca/</a>","<a href=""tel:+1905-335-3663"">905-335-3663</a>",2050 Guelph Line,Burlington,L7R&nbsp;3Z2,"<abbr title=""not available"">N/A</abbr>",Box 5005,Ontario,Central Region,905-335-9802,English,Public District School Board (English/French),B66133
Hamilton-Wentworth Catholic District School Board,"<a href=""http://www.hwcdsb.ca/"">http://www.hwcdsb.ca/</a>","<a href=""tel:+1905-525-2930"">905-525-2930</a>",90 Mulberry Street,Hamilton,L8N&nbsp;3R9,"<abbr title=""not available"">N/A</abbr>",Box 2012,Ontario,West Region,905-525-1724,English,Catholic District School Board (English/French),B67121
Hamilton-Wentworth District School Board,"<a href=""http://www.hwdsb.on.ca"">http://www.hwdsb.on.ca</a>","<a href=""tel:+1905-527-5092"">905-527-5092</a>",20 Education Court,Hamilton,L9A&nbsp;0B9,"<abbr title=""not available"">N/A</abbr>",Box 2558,Ontario,West Region,905-521-2539,English,Public District School Board (English/French),B66141
Hastings & Prince Edward District School Board,"<a href=""http://www.hpedsb.on.ca"">http://www.hpedsb.on.ca</a>","<a href=""tel:+1613-966-1170"">613-966-1170</a>",156 Ann Street,Belleville,K8N&nbsp;3L3,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,613-966-6023,English,Public District School Board (English/French),B66222
Huron Perth Catholic District School Board,"<a href=""www.huronperthcatholic.ca"">www.huronperthcatholic.ca</a>","<a href=""tel:+1519-345-2440"">519-345-2440</a>",87 Mill Street,Dublin,N0K&nbsp;1E0,"<abbr title=""not available"">N/A</abbr>",Box 70,Ontario,West Region,519-345-2449,English,Catholic District School Board (English/French),B67016
Huron-Superior Catholic District School Board,"<a href=""http://www.hscdsb.on.ca"">http://www.hscdsb.on.ca</a>","<a href=""tel:+1705-945-5400"">705-945-5400</a>",90 Ontario Avenue,Sault Ste Marie,P6B&nbsp;6G7,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,705-945-5575,English,Catholic District School Board (English/French),B29025
James Bay Lowlands Secondary School Board,"<a href=""jblssb.ca"">jblssb.ca</a>","<a href=""tel:+1705-336-2903"">705-336-2903</a>",1 Keewatin Drive,Moosonee,P0L&nbsp;1Y0,"<abbr title=""not available"">N/A</abbr>",Box 157,Ontario,North Region,705-336-0234,English,Secondary School Board (School Authority),B15148
John McGivney Children’s Centre School Authority,"<a href=""http://school.jmccentre.ca"">http://school.jmccentre.ca</a>","<a href=""tel:+1519-977-2200"">519-977-2200</a>",3945 Matchette Road,Windsor,N9C&nbsp;4C2,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,519-977-2201,English,Provincial/Hospital,B80047
Kawartha Pine Ridge District School Board,"<a href=""http://www.kprschools.ca"">http://www.kprschools.ca</a>","<a href=""tel:+1705-742-9773"">705-742-9773</a>",1994 Fisher Drive,Peterborough,K9J&nbsp;6X6,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,705-742-7801,English,Public District School Board (English/French),B66079
Keewatin-Patricia District School Board,"<a href=""http://www.kpdsb.on.ca"">http://www.kpdsb.on.ca</a>","<a href=""tel:+1807-468-5571"">807-468-5571</a>",240 Veterans Drive,Kenora,P9N&nbsp;3Y5,4<sup>th</sup> Floor,"<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-468-3857,English,Public District School Board (English/French),B28045
Kenora Catholic District School Board,"<a href=""http://www.kcdsb.on.ca"">http://www.kcdsb.on.ca</a>","<a href=""tel:+1807-468-9851"">807-468-9851</a>",1292 Heenan Place,Kenora,P9N&nbsp;2Y8,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-468-8094,English,Catholic District School Board (English/French),B29050
KidsAbility Education Authority,"<a href=""www.kidsability.ca"">www.kidsability.ca</a>","<a href=""tel:+1519-886-8886"">519-886-8886</a>",500 Hallmark Drive,Waterloo,N2K&nbsp;3P5,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,519-885-6222,English,Provincial/Hospital,B80039
Lakehead District School Board,"<a href=""http://www.lakeheadschools.ca"">http://www.lakeheadschools.ca</a>","<a href=""tel:+1807-625-5100"">807-625-5100</a>",2135 Sills Street,Thunder Bay,P7E&nbsp;5T2,Jim McCuaig Education Centre,"<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-622-0961,English,Public District School Board (English/French),B28061
Lambton Kent District School Board,"<a href=""http://www.lkdsb.net"">http://www.lkdsb.net</a>","<a href=""tel:+1519-336-1500"">519-336-1500</a>",200 Wellington Street,Sarnia,N7T&nbsp;7L2,"<abbr title=""not available"">N/A</abbr>",Box 2091,Ontario,West Region,519-336-0992,English,Public District School Board (English/French),B66036
Limestone District School Board,"<a href=""http://www.limestone.on.ca"">http://www.limestone.on.ca</a>","<a href=""tel:+1613-544-6920"">613-544-6920</a>",220 Portsmouth Avenue,Kingston,K7L&nbsp;4X4,"<abbr title=""not available"">N/A</abbr>",Postal Bag 610,Ontario,East Region,613-544-6804,English,Public District School Board (English/French),B66206
London District Catholic School Board,"<a href=""http://ldcsb.on.ca"">http://ldcsb.on.ca</a>","<a href=""tel:+1519-663-2088"">519-663-2088</a>",5200 Wellington Road,London,N6A&nbsp;4X5,London DCSB,5474,Ontario,West Region,519-663-9250,English,Catholic District School Board (English/French),B67032
Moose Factory Island District School Area Board,"<a href=""https://mfidsab.ca/mfidsab/"">https://mfidsab.ca/mfidsab/</a>","<a href=""tel:+1705-658-4571"">705-658-4571</a>","<abbr title=""not available"">N/A</abbr>",Moose Factory,P0L&nbsp;1W0,"<abbr title=""not available"">N/A</abbr>",Box 160,Ontario,North Region,705-658-4768,English,Public School Board,B15199
Moosonee District School Area Board,"<a href=""mdsab.ca"">mdsab.ca</a>","<a href=""tel:+1705-336-2300"">705-336-2300</a>","<abbr title=""not available"">N/A</abbr>",Moosonee,P0L&nbsp;1Y0,"<abbr title=""not available"">N/A</abbr>",Box 250,Ontario,North Region,705-336-0334,English,Public School Board,B15202
Near North District School Board,"<a href=""http://www.nearnorthschools.ca"">http://www.nearnorthschools.ca</a>","<a href=""tel:+1705-472-8170"">705-472-8170</a>",963 Airport Road,North Bay,P1B&nbsp;8H1,"<abbr title=""not available"">N/A</abbr>",Box 3110,Ontario,North Region,705-472-9927,English,Public District School Board (English/French),B28037
Niagara Catholic District School Board,"<a href=""http://www.niagaracatholic.ca"">http://www.niagaracatholic.ca</a>","<a href=""tel:+1905-735-0240"">905-735-0240</a>",427 Rice Road,Welland,L3C&nbsp;7C1,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,905-734-8828,English,Catholic District School Board (English/French),B67156
Niagara Peninsula Children’s Centre School Authority,"<a href=""www.npcc.on.ca"">www.npcc.on.ca</a>","<a href=""tel:+1905-688-3550"">905-688-3550</a>",567 Glenridge Avenue,St Catharines,L2T&nbsp;4C2,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,905-688-1055,English,Provincial/Hospital,B80004
Nipissing-Parry Sound Catholic District School Board,"<a href=""www.npsc.ca"">www.npsc.ca</a>","<a href=""tel:+1705-472-1201"">705-472-1201</a>",1000 High Street,North Bay,P1B&nbsp;6S6,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,705-472-0507,English,Catholic District School Board (English/French),B29017
Northeastern Catholic District School Board,"<a href=""ncdsb.on.ca"">ncdsb.on.ca</a>","<a href=""tel:+1705-268-7443"">705-268-7443</a>",383 Birch Street North,Timmins,P4N&nbsp;6E8,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,705-267-3590,English,Catholic District School Board (English/French),B29009
Northwest Catholic District School Board,"<a href=""http://www.tncdsb.on.ca"">http://www.tncdsb.on.ca</a>","<a href=""tel:+1807-274-2931"">807-274-2931</a>",555 Flinders Avenue,Fort Frances,P9A&nbsp;3L2,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-274-8792,English,Catholic District School Board (English/French),B29041
Ottawa Catholic School Board,"<a href=""http://www.ocsb.ca"">http://www.ocsb.ca</a>","<a href=""tel:+1613-224-2222"">613-224-2222</a>",570 West Hunt Club Road,Nepean,K2G&nbsp;3R4,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,613-224-5063,English,Catholic District School Board (English/French),B67180
Ottawa-Carleton District School Board,"<a href=""http://www.ocdsb.ca"">http://www.ocdsb.ca</a>","<a href=""tel:+1613-721-1820"">613-721-1820</a>",133 Greenbank Road,Nepean,K2H&nbsp;6L3,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,613-820-6968,English,Public District School Board (English/French),B66184
Peel District School Board,"<a href=""http://www.peelschools.org"">http://www.peelschools.org</a>","<a href=""tel:+1905-890-1099"">905-890-1099</a>",5650 Hurontario Street,Mississauga,L5R&nbsp;1C6,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,Central Region,905-890-6747,English,Public District School Board (English/French),B66125
Penetanguishene Protestant Separate School Board,"<a href=""https://www.pssbp.ca"">https://www.pssbp.ca</a>","<a href=""tel:+1705-549-6422"">705-549-6422</a>",2 Poyntz Street,Penetanguishene,L9M&nbsp;1M2,Unit 48,Box 107,Ontario,Central Region,705-549-2768,English,Protestant Seperate School Board (School Authority),B79910
Peterborough Victoria Northumberland and Clarington Catholic District School Board,"<a href=""http://www.pvnccdsb.on.ca"">http://www.pvnccdsb.on.ca</a>","<a href=""tel:+1705-748-4861"">705-748-4861</a>",1355 Lansdowne Street West,Peterborough,K9J&nbsp;7M3,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,705-748-9734,English,Catholic District School Board (English/French),B67067
Provincial and Demonstration Schools,"<a href=""https://pdsbnet.ca"">https://pdsbnet.ca</a>","<a href=""tel:+1905-878-2851"">905-878-2851</a>",255 Ontario Street South,Milton,L9T&nbsp;2M5,Ministry of Education,"<abbr title=""not available"">N/A</abbr>",Ontario,Central Region,"<abbr title=""not available"">N/A</abbr>",English,Provincial/Hospital,B76686
Rainbow District School Board,"<a href=""http://www.rainbowschools.ca"">http://www.rainbowschools.ca</a>","<a href=""tel:+1705-674-3171"">705-674-3171</a>",408 Wembley Drive,Sudbury,P3E&nbsp;1P2,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,705-674-9112,English,Public District School Board (English/French),B28029
Rainy River District School Board,"<a href=""http://www.rrdsb.com"">http://www.rrdsb.com</a>","<a href=""tel:+1807-274-9855"">807-274-9855</a>",522 Second Street East,Fort Frances,P9A&nbsp;1N4,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-274-5078,English,Public District School Board (English/French),B28053
Renfrew County Catholic District School Board,"<a href=""http://www.rccdsb.edu.on.ca"">http://www.rccdsb.edu.on.ca</a>","<a href=""tel:+1613-735-1031"">613-735-1031</a>",499 Pembroke Street West,Pembroke,K8A&nbsp;5P1,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,613-735-2649,English,Catholic District School Board (English/French),B67199
Renfrew County District School Board,"<a href=""http://www.renfrew.edu.on.ca"">http://www.renfrew.edu.on.ca</a>","<a href=""tel:+1613-735-0151"">613-735-0151</a>",1270 Pembroke Street West,Pembroke,K8A&nbsp;4G4,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,East Region,613-735-6315,English,Public District School Board (English/French),B66214
Simcoe County District School Board,"<a href=""http://www.scdsb.on.ca"">http://www.scdsb.on.ca</a>","<a href=""tel:+1705-728-7570"">705-728-7570</a>",1170 26 Highway,Midhurst,L9X&nbsp;1N6,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,Central Region,705-728-2265,English,Public District School Board (English/French),B66109
Simcoe Muskoka Catholic District School Board,"<a href=""http://www.smcdsb.on.ca"">http://www.smcdsb.on.ca</a>","<a href=""tel:+1705-722-3555"">705-722-3555</a>",46 Alliance Boulevard,Barrie,L4M&nbsp;5K3,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,Central Region,705-722-6534,English,Catholic District School Board (English/French),B67091
St Clair Catholic District School Board,"<a href=""http://www.st-clair.net"">http://www.st-clair.net</a>","<a href=""tel:+1519-627-6762"">519-627-6762</a>",420 Creek Street,Wallaceburg,N8A&nbsp;4C4,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,West Region,519-627-8230,English,Catholic District School Board (English/French),B67040
Sudbury Catholic District School Board,"<a href=""http://www.scdsb.edu.on.ca"">http://www.scdsb.edu.on.ca</a>","<a href=""tel:+1705-673-5620"">705-673-5620</a>",165 A D’Youville Street,Sudbury,P3C&nbsp;5E7,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,705-688-1781,English,Catholic District School Board (English/French),B29033
Superior North Catholic District School Board,"<a href=""http://www.sncdsb.on.ca"">http://www.sncdsb.on.ca</a>","<a href=""tel:+1807-825-3209"">807-825-3209</a>",21 Simcoe Plaza,Terrace Bay,P0T&nbsp;2W0,"<abbr title=""not available"">N/A</abbr>",Box 610,Ontario,North Region,807-825-3885,English,Catholic District School Board (English/French),B29076
Superior-Greenstone District School Board,"<a href=""http://www.sgdsb.on.ca"">http://www.sgdsb.on.ca</a>","<a href=""tel:+1807-229-0436"">807-229-0436</a>",12 Hemlo Drive,Marathon,P0T&nbsp;2E0,"<abbr title=""not available"">N/A</abbr>",Postal Bag A,Ontario,North Region,807-229-1471,English,Public District School Board (English/French),B28070
Thames Valley District School Board,"<a href=""http://www.tvdsb.on.ca"">http://www.tvdsb.on.ca</a>","<a href=""tel:+1519-452-2000"">519-452-2000</a>",1250 Dundas Street East,London,N6A&nbsp;5L1,"<abbr title=""not available"">N/A</abbr>",Box 5888,Ontario,West Region,519-452-2395,English,Public District School Board (English/French),B66044
Thunder Bay Catholic District School Board,"<a href=""http://www.tbcschools.ca"">http://www.tbcschools.ca</a>","<a href=""tel:+1807-625-1555"">807-625-1555</a>",459 Victoria Avenue West,Thunder Bay,P7C&nbsp;0A4,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,North Region,807-623-0431,English,Catholic District School Board (English/French),B29068
Toronto Catholic District School Board,"<a href=""http://www.tcdsb.org"">http://www.tcdsb.org</a>","<a href=""tel:+1416-222-8282"">416-222-8282</a>",80 Sheppard Avenue East,Toronto,M2N&nbsp;6E8,Catholic Education Centre,"<abbr title=""not available"">N/A</abbr>",Ontario,Toronto Region,416-229-5353,English,Catholic District School Board (English/French),B67059
Toronto District School Board,"<a href=""http://www.tdsb.on.ca"">http://www.tdsb.on.ca</a>","<a href=""tel:+1416-397-3000"">416-397-3000</a>",5050 Yonge Street,Toronto,M2N&nbsp;5N8,"<abbr title=""not available"">N/A</abbr>","<abbr title=""not available"">N/A</abbr>",Ontario,Toronto Region,416-395-8280,English,Public District School Board (English/French),B66052
