Topic,Characteristic,Total
Household and dwelling characteristics,  Other single-attached house,60
Household and dwelling characteristics,  Movable dwelling,0
Household and dwelling characteristics,Total - Private households by household size - 100% data,73560
Household and dwelling characteristics,  1 person,13425
Household and dwelling characteristics,  2 persons,20490
Household and dwelling characteristics,  3 persons,14040
Household and dwelling characteristics,  4 persons,16660
Household and dwelling characteristics,  5 or more persons,8950
Household and dwelling characteristics,Number of persons in private households,212055
Household and dwelling characteristics,Average household size,2.9
Income of households in 2020,Total - Income statistics for private households - 100% data,73560
Income of households in 2020,  Median total income of household in 2020 ($),128000
Income of households in 2020,  Median after-tax income of household in 2020 ($),108000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,13420
Income of households in 2020,      Median total income of one-person households in 2020 ($),55200
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),47600
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,60135
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),150000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),125000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,73560
Income of households in 2020,  Average total income of household in 2020 ($),182800
Income of households in 2020,  Average after-tax income of household in 2020 ($),136600
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,13430
Income of households in 2020,      Average total income of one-person households in 2020 ($),75900
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),59400
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,60130
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),206800
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),153800
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,73560
Income of households in 2020,"  Under $5,000",940
Income of households in 2020,"  $5,000 to $9,999",410
Income of households in 2020,"  $10,000 to $14,999",590
Income of households in 2020,"  $15,000 to $19,999",765
Income of households in 2020,"  $20,000 to $24,999",1430
Income of households in 2020,"  $25,000 to $29,999",1460
Income of households in 2020,"  $30,000 to $34,999",1325
Income of households in 2020,"  $35,000 to $39,999",1505
Income of households in 2020,"  $40,000 to $44,999",1570
Income of households in 2020,"  $45,000 to $49,999",1625
Income of households in 2020,"  $50,000 to $59,999",3330
Income of households in 2020,"  $60,000 to $69,999",3475
Income of households in 2020,"  $70,000 to $79,999",3455
Income of households in 2020,"  $80,000 to $89,999",3230
Income of households in 2020,"  $90,000 to $99,999",3205
Income of households in 2020,"  $100,000 and over",45250
Income of households in 2020,"    $100,000 to $124,999",7515
Income of households in 2020,"    $125,000 to $149,999",6580
Income of households in 2020,"    $150,000 to $199,999",10540
Income of households in 2020,"    $200,000 and over",20615
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,73560
Income of households in 2020,"  Under $5,000",1200
Income of households in 2020,"  $5,000 to $9,999",430
Income of households in 2020,"  $10,000 to $14,999",605
Income of households in 2020,"  $15,000 to $19,999",815
Income of households in 2020,"  $20,000 to $24,999",1535
Income of households in 2020,"  $25,000 to $29,999",1630
Income of households in 2020,"  $30,000 to $34,999",1505
Income of households in 2020,"  $35,000 to $39,999",1755
Income of households in 2020,"  $40,000 to $44,999",1870
Income of households in 2020,"  $45,000 to $49,999",1985
Income of households in 2020,"  $50,000 to $59,999",4155
Income of households in 2020,"  $60,000 to $69,999",4120
Income of households in 2020,"  $70,000 to $79,999",4095
Income of households in 2020,"  $80,000 to $89,999",4175
Income of households in 2020,"  $90,000 to $99,999",3945
Income of households in 2020,"  $100,000 and over",39740
Income of households in 2020,"    $100,000 to $124,999",8875
Income of households in 2020,"    $125,000 to $149,999",7505
Income of households in 2020,"    $150,000 and over",23360
Household characteristics,Total - Private households by tenure - 25% sample data,73560
Household characteristics,  Owner,57025
Household characteristics,  Renter,16530
Household characteristics,"  Dwelling provided by the local government, First Nation or Indian band",0
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,73560
Household characteristics,  Condominium,12435
Household characteristics,  Not condominium,61120
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,73560
Household characteristics,  No bedrooms,295
Household characteristics,  1 bedroom,5095
Household characteristics,  2 bedrooms,10885
Household characteristics,  3 bedrooms,23715
Household characteristics,  4 or more bedrooms,33565
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,73560
Household characteristics,  1 to 4 rooms,14020
Household characteristics,  5 rooms,8980
Household characteristics,  6 rooms,10215
Household characteristics,  7 rooms,9490
Household characteristics,  8 or more rooms,30855
Household characteristics,Average number of rooms per dwelling,7.1
Household characteristics,Total - Private households by number of persons per room - 25% sample data,73560
Household characteristics,  One person or fewer per room,72055
Household characteristics,  More than one person per room,1500
Household characteristics,Total - Private households by housing suitability - 25% sample data,73560
Household characteristics,  Suitable,70615
Household characteristics,  Not suitable,2945
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,73560
Household characteristics,  1960 or before,5950
Household characteristics,  1961 to 1980,13935
Household characteristics,  1981 to 1990,13600
Household characteristics,  1991 to 2000,11910
Household characteristics,  2001 to 2005,8055
Household characteristics,  2006 to 2010,6480
Household characteristics,  2011 to 2015,5310
Household characteristics,  2016 to 2021,8320
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,73560
Household characteristics,  Only regular maintenance and minor repairs needed,71140
Household characteristics,  Major repairs needed,2420
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,73560
Household characteristics,  One-maintainer household,32085
Household characteristics,  Two-maintainer household,38490
Household characteristics,  Three-or-more-maintainer household,2980
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,73560
Household characteristics,  15 to 24 years,700
Household characteristics,  25 to 34 years,5795
Household characteristics,  35 to 44 years,13370
Household characteristics,  45 to 54 years,19345
Household characteristics,  55 to 64 years,15745
Household characteristics,  65 to 74 years,9810
Household characteristics,  75 to 84 years,6310
Household characteristics,  85 years and over,2485
Household characteristics,"Total - Owner and tenant households with household total income greater than zero, in non-farm, non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data",73110
Household characteristics,  Spending less than 30% of income on shelter costs,53810
Household characteristics,  Spending 30% or more of income on shelter costs,19295
Household characteristics,    30% to less than 100%,15945
Household characteristics,Total - Occupied private dwellings by housing indicators - 25% sample data,73560
Household characteristics,  Total - Households 'spending 30% or more of income on shelter costs' or 'not suitable' or 'major repairs needed',22990
Household characteristics,    Spending 30% or more of income on shelter costs only,17815
Household characteristics,    Not suitable only,1970
Household characteristics,    Major repairs needed only,1565
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable',790
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'major repairs needed',670
Household characteristics,    'Not suitable' and 'major repairs needed',155
Household characteristics,    'Spending 30% or more of income on shelter costs' and 'not suitable' and 'major repairs needed',20
Household characteristics,  Acceptable housing,50565
Household characteristics,"Total - Owner and tenant households with household total income greater than zero and shelter-cost-to-income ratio less than 100%, in non-farm, non-reserve private dwellings - 25% sample data",69760
Household characteristics,  In core need,6985
Household characteristics,  Not in core need,62780
Household characteristics,"Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data",57025
Household characteristics,  % of owner households with a mortgage,61.1
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,20.8
Household characteristics,  % in core housing need,6.1
Household characteristics,  Median monthly shelter costs for owned dwellings ($),2080
Household characteristics,  Average monthly shelter costs for owned dwellings ($),2384
Household characteristics,  Median value of dwellings ($),1200000
Household characteristics,  Average value of dwellings ($),1388000
Household characteristics,"Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data",16530
Household characteristics,  % of tenant households in subsidized housing,11.7
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,45.8
Household characteristics,  % in core housing need,24.2
Household characteristics,  Median monthly shelter costs for rented dwellings ($),2040
Household characteristics,  Average monthly shelter costs for rented dwellings ($),2146
Household characteristics,"Total - Households living in a dwelling provided by the local government, First Nation or Indian band in non-farm private dwellings - 25% sample data",0
Household characteristics,"  % of households living in a dwelling provided by the local government, First Nation or Indian band spending more than 30% on shelter costs",
Household characteristics,"  Median monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",
Household characteristics,"  Average monthly shelter costs for dwellings provided by local government, First Nation or Indian band ($)",
