Region,Board Number,Board Name,Board Type,Board Language,School Number,School Name,School Level,School Language,School Type,School Special Conditions,Suite,PO Box,Street,City,Province,Postal Code,Phone,Fax,Grade Range,Date Open,Email,Website,Board Website
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,093548,Central Avenue Public School,Elementary,English,Public,Not applicable,,,81 Central Ave,Elliot Lake,Ontario,P5A2G4,705-848-3951,705-848-4805,JK-8,01/09/1969,damatoa@adsb.on.ca,http://www.adsb.on.ca/sites/schools/cen/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,900869,Chapleau High School,Secondary,English,Public,Not applicable,,,20 Teak St,Chapleau,Ontario,P0M1K0,705-864-1452,705-864-2367,12-Sep,01/09/1969,schuurn@adsb.on.ca,http://www.adsb.on.ca/sites/schools/css/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,101214,Chapleau Public School,Elementary,English,Public,Not applicable,,Box 700,24 Pine St,Chapleau,Ontario,P0M1K0,705-864-1170,705-864-1606,JK-8,01/09/1969,,http://www.adsb.on.ca/content/schools/school_details.asp?SchoolID=24,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,649654,Donald Doucet Youth Centre,Elem/Sec,English,Public,Cust/Correctional Facility,,,521 Second Line East,Sault Ste. Marie,Ontario,P6B4K2,,,K-12,21/04/2008,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,161276,East View Public School,Elementary,English,Public,Not applicable,,,75 Arizona Ave,Sault Ste Marie,Ontario,P6A4L9,705-945-7115,705-945-7400,JK-8,01/09/1969,travesc@adsb.on.ca,http://www.adsb.on.ca/sites/schools/evs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,165042,Echo Bay Central Public School,Elementary,English,Public,Not applicable,,,290 Church St,Echo Bay,Ontario,P0S1C0,705-248-2271,705-248-2045,JK-6,01/09/1969,hemswoe@adsb.on.ca,http://www.adsb.on.ca/sites/schools/ech/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,293055,Elliot Lake Intermediate School,Elementary,English,Public,Not applicable,,,303 Mississauga Avenue,Elliot Lake,Ontario,P5A1E8,705-848-7162,,08-Jul,01/09/2021,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,908010,Elliot Lake Secondary School,Secondary,English,Public,Not applicable,,,303 Mississauga Ave,Elliot Lake,Ontario,P5A1E8,705-848-7162,705-848-0103,12-Sep,01/09/1969,juutir@adsb.on.ca,http://www.adsb.on.ca/sites/schools/els/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,186783,Esten Park Public School,Elementary,English,Public,Not applicable,,,115 Hergott Ave,Elliot Lake,Ontario,P5A3B4,705-848-2601,705-848-9406,JK-8,01/01/1984,grantd@adsb.on.ca,http://www.adsb.on.ca/sites/schools/est/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,202614,Francis H Clergue Public School,Elementary,English,Public,Not applicable,,,80 Weldon Ave,Sault Ste Marie,Ontario,P6B3C6,705-945-7136,705-945-7144,JK-8,01/09/1969,edwardj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/fhc/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,227331,Grand View Public School,Elementary,English,Public,Not applicable,,,161 Denwood Dr,Sault Ste Marie,Ontario,P6A5R4,705-945-7148,705-945-7403,JK-8,07/09/1971,bodnars@adsb.on.ca,http://www.adsb.on.ca/sites/schools/gvs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,230561,Greenwood Public School,Elementary,English,Public,Not applicable,,,8 Fourth Line W,Sault Ste Marie,Ontario,P6A5K8,705-945-7118,705-945-7402,JK-8,01/09/1969,grecof@adsb.on.ca,http://www.adsb.on.ca/sites/schools/gps/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,237191,H M Robbins Public School,Elementary,English,Public,Not applicable,,,83 East Balfour St,Sault Ste Marie,Ontario,P6C1X4,705-945-7119,705-945-7399,JK-8,01/09/1969,courtn@adsb.on.ca,http://www.adsb.on.ca/sites/schools/hmr/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,917370,Hornepayne High School,Secondary,English,Public,Not applicable,,,162 Fourth Avenue,Hornepayne,Ontario,P0M1Z0,807-868-2475,807-868-2126,12-Sep,01/09/1969,jaremyd@adsb.on.ca,http://www.adsb.on.ca/sites/schools/hhs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,264750,Hornepayne Public School,Elementary,English,Public,Not applicable,,,162 Fourth Ave,Hornepayne,Ontario,P0M1Z0,807-868-2503,807-868-2126,JK-8,01/09/1969,jaremyd@adsb.on.ca,http://www.adsb.on.ca/sites/schools/hor/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,278270,Isabel Fletcher Public School,Elementary,English,Public,Not applicable,,,599 Third Line,Sault Ste Marie,Ontario,P6A6K4,705-945-7120,705-945-7204,JK-6,01/09/1969,dunseaj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/isf/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,643455,Kina Awiiya NH,Secondary,English,Public,Care/Treatment Facility,,,636 Goulais Ave,Sault Ste Marie,Ontario,P6C5A7,,,12-Sep,01/09/2009,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,302350,Kiwedin Public School,Elementary,English,Public,Not applicable,,,735 North St,Sault Ste Marie,Ontario,P6B2C4,705-945-7124,705-945-7208,JK-6,01/09/1969,derosaj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/kps/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,920533,Korah Collegiate and Vocational School,Secondary,English,Public,Not applicable,,,636 Goulais Ave,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,12-Sep,01/09/1969,iacoes@adsb.on.ca,http://www.adsb.on.ca/sites/schools/kor/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,018309,Korah Intermediate School,Elementary,English,Public,Not applicable,,,636 Goulais Ave,Sault Ste Marie,Ontario,P6C5A7,705-945-7180,705-945-0750,08-Jul,04/09/2012,iacoes@adsb.on.ca,http://www.adsb.on.ca/sites/schools/kis/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,649651,Marg Gilmour Learning Centre,Secondary,English,Public,Care/Treatment Facility,,,303 Mississauga Ave,Eliot Lake,Ontario,P5A1E8,705-848-7162,,12-Sep,01/09/2004,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,926086,Michipicoten High School,Secondary,English,Public,Not applicable,,,86 Magpie Rd,Wawa,Ontario,P0S1K0,705-856-4464,705-856-1948,12-Sep,01/09/1969,bernatp@adsb.on.ca,http://www.adsb.on.ca/sites/schools/mic/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,645976,Mino Mikaaning,Elem/Sec,English,Public,Care/Treatment Facility,,,1007 Trunk Road,Sault Ste. Marie,Ontario,P6A5K9,,,12-Jul,23/09/2013,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,195200,Mountain View Public School,Elementary,English,Public,Not applicable,,,Mahler Rd 1,Goulais River,Ontario,P0S1E0,705-649-2130,705-649-0786,JK-8,01/09/1969,servanb@adsb.on.ca,http://www.adsb.on.ca/sites/schools/mvs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,641552,Non-Residential Attendance Centre,Secondary,English,Public,Care/Treatment Facility,,,369 Queen Street,Sault Ste Marie,Ontario,P6A1Z4,705-256-6416,,12-Sep,01/09/2015,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,891150,North Shore Adolescent Education School,Secondary,English,Public,Not applicable,,,303 Mississauga Ave,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,12-Sep,01/09/1991,juutir@adsb.on.ca,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,995819,North Shore Adult Education School,Secondary,English,Public,Continuing Education,,,303 Mississauga Ave,Elliot Lake,Ontario,P5A1E8,705-848-1088,705-848-5634,12-Sep,01/09/2002,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,992569,North Shore Night School,Secondary,English,Public,Continuing Education,,,303 Mississauga,Elliot Lake,Ontario,P5A1E8,,,No Grades Applicable,03/09/1971,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,980471,North Shore Summer School,Secondary,English,Public,Summer,,,303 Mississauga Ave,Elliot Lake,Ontario,P5A1E8,705-848-3661,,12-Sep,01/06/1982,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,410870,Northern Heights Public School,Elementary,English,Public,Not applicable,,,210 Grand Blvd,Sault Ste Marie,Ontario,P6B4S8,705-945-7128,705-945-7319,JK-8,01/09/1969,colterk@adsb.on.ca,http://www.adsb.on.ca/sites/schools/nhs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,646337,Parkland NBJ Public School,Elementary,English,Public,Care/Treatment Facility,,,83 East Balfour Street,Sault Ste. Marie,Ontario,P6C1X4,705-945-7119,,K-8,02/09/2008,viitak@adsb.on.ca,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,647055,Parkland NBP Public School,Elementary,English,Public,Care/Treatment Facility,,,24 Paradise Av,SAULT STE. MARIE,Ontario,P6B5K2,705-945-7128,,JK-8,01/09/1995,viitak@adsb.on.ca,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,434922,Parkland Public School,Elementary,English,Public,Not applicable,,,54 Amber St,Sault Ste Marie,Ontario,P6A5G1,705-945-7129,705-945-7131,JK-8,01/09/1969,dugasm@adsb.on.ca,http://www.adsb.on.ca/sites/schools/pps/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,442054,Pinewood Public School,Elementary,English,Public,Not applicable,,,3924 Queen St E,Sault Ste Marie,Ontario,P6A5K9,705-945-7133,705-945-7225,JK-8,03/09/1991,maxwelj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/pin/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,462616,Queen Elizabeth Public School,Elementary,English,Public,Not applicable,,,139 Elizabeth St,Sault Ste Marie,Ontario,P6A3Z5,705-945-7132,705-945-7288,JK-8,01/09/1969,dickd@adsb.on.ca,http://www.adsb.on.ca/sites/schools/qes/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,468339,R M Moore Public School,Elementary,English,Public,Not applicable,,,1272 Base Line,Sault Ste Marie,Ontario,P6A6K4,705-945-7135,705-945-7401,JK-8,01/09/1969,clemenm@adsb.on.ca,http://www.adsb.on.ca/sites/schools/rmm/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,485497,River View Public School,Elementary,English,Public,Not applicable,,,51 Wireless Ave,Sault Ste Marie,Ontario,P6B1L4,705-945-7134,705-945-7339,JK-8,01/09/1969,vecchia@adsb.on.ca,http://www.adsb.on.ca/sites/schools/rvs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,997617,Sault Ste Marie Adult Learning Centre,Secondary,English,Public,Continuing Education,,,232 Northern Ave E,Sault Ste Marie,Ontario,P6B4H6,705-945-7185,705-945-7195,No Grades Applicable,30/09/2002,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,980064,Sault Ste Marie Summer School,Elem/Sec,English,Public,Summer,,,750 North Street,Sault Ste Marie,Ontario,P6A2K7,705-945-7266,,K-12,30/06/1981,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,994774,Sault Ste. Marie Night School,Secondary,English,Public,Continuing Education,,,232 Northern Avenue,Sault Ste Marie,Ontario,P6B4H6,705-945-7185,,No Grades Applicable,08/11/1971,,,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,515396,Sir James Dunn Public School,Elementary,English,Public,Not applicable,,,36 McKinley Ave,Wawa,Ontario,P0S1K0,705-856-2517,705-856-2974,JK-8,01/09/1969,poldmat@adsb.on.ca,http://www.adsb.on.ca/sites/schools/sje/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,530603,St Joseph Island Central Public School,Elementary,English,Public,Not applicable,,,1326 Richards St,Richards Landing,Ontario,P0R1J0,705-246-2618,705-246-0511,JK-6,01/09/1969,aelickp@adsb.on.ca,http://www.adsb.on.ca/sites/schools/sjo/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,958050,Superior Heights Collegiate and Vocational School,Secondary,English,Public,Not applicable,,,750 north street,Sault Ste. Marie,Ontario,P6B2C5,,,12-Sep,01/09/2010,marrelj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/shs/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,672610,Superior Heights Community Education,Elementary,English,Public,Not applicable,,,750 North Avenue,Sault Ste Marie,Ontario,P6B2C5,705-945-7142,705-945-7390,08-Jul,01/01/1970,marrelj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/shc/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,106913,Superior Heights Intermediate School,Elementary,English,Public,Not applicable,,,750 North Street,Sault Ste. Marie,Ontario,P6B2C5,705-945-7499,705-945-7497,08-Jul,06/09/2005,marrelj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/sis/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,548413,Tarentorus Public School,Elementary,English,Public,Not applicable,,,96 Northwood St,Sault Ste Marie,Ontario,P6B4M4,705-945-7138,705-945-7414,JK-8,01/09/1969,harndea@adsb.on.ca,http://www.adsb.on.ca/sites/schools/tps/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,551660,Thessalon Public School,Elementary,English,Public,Not applicable,,,90 Stanley St,Thessalon,Ontario,P0R1L0,705-842-2410,705-842-0129,JK-6,01/09/1969,tetreaj@adsb.on.ca,http://www.adsb.on.ca/sites/schools/the/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,895270,W C Eaket Secondary School,Secondary,English,Public,Not applicable,,,147 Woodward Ave,Blind River,Ontario,P0R1B0,705-356-2221,705-356-2596,12-Sep,01/09/1969,beauchb@adsb.on.ca,http://www.adsb.on.ca/sites/schools/wce/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,953148,White Pines Collegiate and Vocational School,Secondary,English,Public,Not applicable,,,1007 Trunk Rd,Sault Ste Marie,Ontario,P6A5K9,705-945-7181,705-945-0726,12-Sep,05/09/1972,carusos@adsb.on.ca,http://www.adsb.on.ca/sites/schools/wps/default.aspx,http://www.adsb.on.ca
North Region,B28010,Algoma DSB,Pub Dist Sch Brd (E/F),English,144872,White Pines Intermediate School,Elementary,English,Public,Not applicable,,,1007 Trunk Road,SAULT STE. MARIE,Ontario,P6A5K9,705-945-7181,,08-Jul,06/09/2011,carusos@adsb.on.ca,http://www.adsb.on.ca/sites/schools/wpi/default.aspx,http://www.adsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,980776,ALCDSB Summer School,Elem/Sec,English,Catholic,Summer,,,151 Dairy Avenue,Napanee,Ontario,K7R4B2,,,12-Jul,30/06/2007,,,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,765031,Archbishop O'Sullivan Catholic School,Elementary,English,Catholic,Not applicable,,,974 Pembridge Cres,Kingston,Ontario,K7P1A3,613-389-1891,613-389-8409,JK-8,01/09/1976,flhpabos@alcdsb.on.ca,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,827681,Cathedrale Catholic School,Elementary,English,Catholic,Not applicable,,,301 Johnson St,Kingston,Ontario,K7L1Y5,613-546-7555,613-546-0760,JK-8,04/09/1974,flhpecth@alcdsb.on.ca,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,683773,Elementary Remote Learning School,Elementary,English,Catholic,Temporary Remote Learning School,,,151 Dairy Avenue,Napanee,Ontario,K7R4B2,613-354-2255,,JK-8,24/08/2020,,www.alcdsb.on.ca,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,708011,Georges Vanier Catholic School,Elementary,English,Catholic,Not applicable,,,100 Tracey St E,Belleville,Ontario,K8P2R8,613-962-7541,613-391-0169,JK-8,30/09/1971,,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,715298,Holy Cross Catholic Secondary School,Secondary,English,Catholic,Not applicable,,,1085 Woodbine Rd,Kingston,Ontario,K7P2V9,613-384-1919,613-384-8665,12-Sep,01/09/1986,flhphcss@alcdsb.on.ca,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,717703,Holy Name Catholic School,Elementary,English,Catholic,Not applicable,,,370 Kingston Mills Road,Kingston,Ontario,K7L5H6,613-542-8611,613-549-6979,JK-8,01/09/1969,flhpname@alcdsb.on.ca,https://www.alcdsb.on.ca/school/name/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,865257,Holy Name of Mary Catholic School,Elementary,English,Catholic,Not applicable,,,7314 Old Highway 2 RR1,Marysville,Ontario,K0K2N0,613-396-2741,613-396-6554,JK-8,01/09/1969,,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,719919,Holy Rosary Catholic School,Elementary,English,Catholic,Not applicable,,,10 Prince of Wales Dr,Belleville,Ontario,K8P2T4,613-962-2305,613-391-0168,JK-8,01/09/1969,flhprosa@alcdsb.on.ca,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,735523,J J O'Neill Catholic School,Elementary,English,Catholic,Not applicable,,,240 Marilyn Ave,Napanee,Ontario,K7R2L4,613-354-9500,613-345-6970,JK-8,01/09/1977,flhpjjon@alcdsb.on.ca,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,834301,Kingston West,Elementary,English,Catholic,Not applicable,,,386 Holden Street,Kingston,Ontario,K7L4V2,,,JK-8,01/09/2023,,,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,993654,Loyola Community Learning,Elem/Sec,English,Catholic,Continuing Education,,,1440 Princess Street,Kingston,Ontario,K7M3E5,,,12-Jul,02/09/2014,,,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,728420,Loyola Community Learning Centre,Secondary,English,Catholic,Adult,,,1440 Princess Street,Kingston,Ontario,K7M3E5,613-544-3361,613-547-0999,12-Sep,08/09/1992,deckroby@alcdsb.on.ca,https://www.learningatloyola.ca/campus/kingston/,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,835099,Nicholson Catholic College,Secondary,English,Catholic,Not applicable,,,301 Church St,Belleville,Ontario,K8N3C7,613-967-0404,613-967-1963,12-Sep,01/09/1969,flhpnicc@alcdsb.on.ca,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,690932,Nicholson Catholic College (Grade 7 & 8),Elementary,English,Catholic,Not applicable,,,228 Dundas Street,Trenton,Ontario,K8V3R4,613-394-3526,,08-Jul,07/09/2021,,,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,742279,Our Lady of Fatima Catholic School,Elementary,English,Catholic,Not applicable,,,300 Sidney St,Belleville,Ontario,K8P3Z3,613-962-2162,613-962-5935,JK-8,01/09/1969,flhpofat@alcdsb.on.ca,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,746568,Our Lady of Lourdes Catholic School,Elementary,English,Catholic,Not applicable,,,20 Cranbrook St,Kingston,Ontario,K7M4M9,613-389-2800,613-389-9551,JK-8,01/09/1969,flhplady@alcdsb.on.ca,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,746690,Our Lady of Mercy Catholic School,Elementary,English,Catholic,Not applicable,,,192 Bridge St W,Bancroft,Ontario,K0L1C0,613-332-3300,613-332-0523,JK-8,01/09/1969,flhpomer@alcdsb.on.ca,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,706264,Our Lady of Mount Carmel Catholic School,Elementary,English,Catholic,Not applicable,,,97 Park Cres,Amherstview,Ontario,K7N1L7,613-389-1122,613-389-9684,JK-8,01/09/1969,flhpolmc@alcdsb.on.ca,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx,http://www.alcdsb.on.ca
East Region,B67202,Algonquin and Lakeshore CDSB,Cath Dist Sch Brd (E/F),English,752932,Regiopolis/Notre-Dame Catholic High School,Secondary,English,Catholic,Not applicable,,,130 Russell St,Kingston,Ontario,K7K2E9,613-545-1902,613-548-4024,12-Sep,01/09/1969,flhpregi@alcdsb.on.ca,www.alcdsb.on.ca/school/regi,http://www.alcdsb.on.ca
