School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Academy of Scholars Inc.,668083,,Masum Mustafa,209,,3464 Kingston Road,Scarborough,Ontario,M1M1R5,647-997-6108,,East Region,https://academyofsinc.ca/,Secondary,Not applicable,Online/Site Based,No
Academy of Thought and Industry Toronto,883708,,Laura Mazer,,,1767 Queen St E,Toronto,Ontario,M4L3Z2,437-290-2001,,Toronto Region,https://thoughtandindustry.com/schools/toronto,Elementary,Not applicable,Site based only,No
Académie Providence Soeurs Antonines,666548,,Félicité Daou,,,998 Frances rue,Ottawa,Ontario,K1K3L5,613-744-8489,613-744-6762,East Region,www.academieprovidence.ca,Elementary,Not applicable,Site based only,Bureau Pédagogique des Sœurs Antonines
Académie Ste Cécile International,876275,Offers credits toward the Ontario Secondary School Diploma (OSSD),Samantha Morin,,,925 Cousineau Rd,Windsor,Ontario,N9G1V8,519-969-1291,519-969-7953,West Region,http://www.academiestececile.ca,Elem/Sec,Not applicable,Online/Site Based,OFIS
Académie de la Capitale,878731,Offers credits toward the Ontario Secondary School Diploma (OSSD),Lucie Lalonde,200,,1010 Morrison Drive,Ottawa,Ontario,K2H8K7,613-721-3872,613-721-8189,East Region,http://www.acadecap.org,Elem/Sec,All Year Round,Site based only,IB World School
Ace Acumen Online School,668878,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ningyuan Duo,,,131 Brunel Road,Mississauga,Ontario,L4Z1X3,416-551-6256,,Central Region,www.aceacumenonlineschool.com,Secondary,All Year Round,Online Only,ISPF
Acheron College (Beaver Creek/Fenbrook),884408,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Johnson,,1240,2000 Beaver Creek Drive,Gravenhurst,Ontario,P1P1W9,705-687-1736,705-687-1841,Central Region,,Secondary,All Year Round,Site based only,No
Acheron College (Collins Bay),880977,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rod LeBlanc,,190,1455 Bath Road,Kingston,Ontario,K7L4V9,613-536-6295,613-536-4023,East Region,,Secondary,All Year Round,Site based only,No
Acheron College (Grand Valley),669520,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Stuart,,,1575 Homer Watson Blvd.,Kitchener,Ontario,N2P2C5,519-895-8342,519-895-8230,West Region,,Secondary,All Year Round,Site based only,No
Acheron College (Joyceville/Pittsburgh),881692,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin MacInnis,,,3766 HWY 15 Joyceville,Kingston,Ontario,K0H1Y0,613-536-6598,613-536-6694,East Region,,Secondary,All Year Round,Site based only,No
Acheron College (Millhaven/Bath),667407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kevin MacInnis,,,5775 Bath Road,Bath,Ontario,K0H1G0,613-351-8175,613-351-8374,East Region,,Secondary,All Year Round,Site based only,No
Acheron College (Warkworth),881407,Offers credits toward the Ontario Secondary School Diploma (OSSD),Richard Johnson,,,15847 County Road 29,Warkworth,Ontario,K0K3K0,705-924-8069,705-924-8292,East Region,,Secondary,All Year Round,Site based only,No
Actua Academy,669779,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janelle Fournier,,,111 Murray Street,Ottawa,Ontario,K1N5M5,613-234-4137,,East Region,actua.ca,Secondary,Summer,Site based only,No
Adelfiha's Christian Academy,877514,,Joanna Baxter,,,4340 Dufferin St,Toronto,Ontario,M3H5R9,416-633-5440,416-630-2547,Central Region,www.adelfiha.ca,Elementary,Not applicable,Online/Site Based,A.C.S.I.
Adults in Motion Private School,663832,Offers credits toward the Ontario Secondary School Diploma (OSSD),Natalie Barry,,,48 Syrette Lake Rd,Garden River,Ontario,P6A5K9,705-946-3933,705-946-0410,North Region,,Secondary,First Nation,Online/Site Based,No
Adventist Christian Elementary School,665717,,Kimberley Chute,,,805 SHELBORNE ST,London,Ontario,N5Z5C6,519-601-2277,519-453-9419,West Region,www.aceslondon.ca,Elementary,Not applicable,Online/Site Based,No
Afzal Islamic Montessori & Academy,667455,,Mohammed Ansari,,,188 Shorting Road,Scarborough,Ontario,M1S3S7,416-286-0110,,East Region,www.afzalacademy.ca,Elem/Sec,Not applicable,Site based only,No
Agate Private School,875546,,Gayle Hanlon,,,43 Chaplin Ave,St. Catharines,Ontario,L2R2E4,289-968-9781,,West Region,www.learnfree.ca,Elem/Sec,Not applicable,Online/Site Based,No
Agincourt International Academy,883230,Offers credits toward the Ontario Secondary School Diploma (OSSD),Chanjithcumar Vijayacumar,203,,1001 Sandhurst Circle East,Scarborough,Ontario,M1V1Z6,416-701-1763,416-701-9542,East Region,aia.school,Secondary,All Year Round,Online/Site Based,No
Agincourt Montessori School Inc,878456,,Kiera Thompson,,,2575 Midland Ave,Toronto,Ontario,M1S1R3,416-291-0726,,East Region,www.agincourtmontessori.com,Elementary,Not applicable,Site based only,CCMA
Aglace Chapman Education Centre,663689,Offers credits toward the Ontario Secondary School Diploma (OSSD),Amber Fiore,,168,,Big Trout Lake,Ontario,P0V1G0,807-537-2264,807-537-1067,North Region,,Elem/Sec,First Nation,Site based only,No
Agora Prep Academy,665293,,Sylvia Martignani,103,,126 Wellington St. W,Aurora,Ontario,L4G2N9,888-524-6725,,Central Region,www.agoraprep.com,Elementary,Not applicable,Site based only,No
Ahlul Bayt Islamic School,665991,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahmad Zelzle,,,3025 Albion Rd North RD,Ottawa,Ontario,K1V9V9,613-526-0774,613-526-1941,East Region,www.abischool.com,Elem/Sec,Not applicable,Site based only,No
Ahmadiyya Elementary School,883477,,Reema Malik,,,1194 Matheson Blvd East,Mississauga,Ontario,L4W1R2,416-477-2226,905-832-3220,Central Region,,Elementary,Not applicable,Site based only,No
Aishah Siddiqah Academy,665328,,Jeenat Ara,,,3707 Queen Street,Windsor,Ontario,N9C1P2,844-429-3185,,West Region,http://iaw-ca.com/education/for-sisters/asa-academic-school/,Elementary,Not applicable,Site based only,No
Al Azhar Islamic School,877760,,Yussria Rahman,5,,100 McLevin Ave,Scarborough,Ontario,M1B5K1,416-321-9636,416-321-2426,East Region,,Elementary,Not applicable,Site based only,No
Al Furqan School,881297,,Aisha Sherazi,,,2825 DuMaurier Avenue,Ottawa,Ontario,K2B7W3,613-680-7261,613-820-1495,East Region,www.alfurqan.ca,Elementary,Not applicable,Site based only,No
Al Haadi (9828770 Canada Institute),883124,,Sayyid Ali Imran,16,,690 Progress Avenue,Scarborough,Ontario,M1H3A6,416-628-6252,,East Region,www.alhaadi.ca,Elementary,Not applicable,Site based only,No
Al Haadi Academy,666537,,Majida Saab,,,120 Bermondsey Rd,Toronto,Ontario,M4A1X5,416-562-4950,,Toronto Region,alhaadiacademy.ca,Elementary,Not applicable,Site based only,No
Al Huda Elementary School,669831,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Imran Haq,,,"1135 Central Parkway, West",Mississauga,Ontario,L5C3J2,905-270-2437,,Central Region,alhudaelementary.ca,Elem/Sec,Not applicable,Site based only,No
Al Khayr Academy,667635,,Hakmatullah Sherzad,,,270 Windsor St,Thunder Bay,Ontario,P7B1V6,866-298-2672,,Toronto Region,www.tbmsb.ca,Elementary,Not applicable,Site based only,No
Al-Ameen Elementary School,884792,,Mohammed Ilyas,201,,389 Main Street North,Brampton,Ontario,L6X3P1,905-866-6555,905-866-6550,Central Region,www.al-ameenschool.com,Elementary,Not applicable,Site based only,No
Al-Azhar Academy of Canada,887920,,Al-Saeed Mohammad,,,2074 Kipling Ave,Etobicoke,Ontario,M9W4J4,416-741-3420,416-741-5143,Central Region,www.alazhar.ca,Elementary,Not applicable,Site based only,Ontario Association of Islamic Schools
Al-Falah Islamic,878472,,Ghousia Ali,,,391 Burnhamthorpe Rd E,Oakville,Ontario,L6H7B4,905-257-5782,,Central Region,www.alfalahschool.ca,Elementary,Not applicable,Site based only,No
Al-Hidayah Academy,667583,,Shua Amari,,,65 Rexdale Blvd,Toronto,Ontario,M9W1P1,416-745-3871,416-745-6722,Central Region,www.alhidayah.ca,Elem/Sec,Not applicable,Site based only,No
Al-Hijra,878090,,Waheeda Khan,,,5100 Howard Ave,Old Castle,Ontario,N9H0M3,519-966-8276,519-966-0846,West Region,www.alhijraacademy.com,Elementary,Not applicable,Site based only,No
Al-Ikhlaas Foundation School,886011,Offers credits toward the Ontario Secondary School Diploma (OSSD),Asha Mohamed,,,2050 KIPLING AVE,Etobicoke,Ontario,M9W4J9,647-829-9631,,Central Region,,Elem/Sec,All Year Round,Site based only,No
Al-Iman School,876585,,Syyed Ali,,,12 Beech Street,Brampton,Ontario,L6V1V1,905-799-9231,,Central Region,www.alimanschool.ca,Elementary,Not applicable,Site based only,No
Al-Madrasah Al-Inamiyyah Private School,876003,Offers credits toward the Ontario Secondary School Diploma (OSSD),Abdul Khan,,,3665 Lawrence Avenue East,Scarborough,Ontario,M1G1P7,905-686-4003,905-686-4428,East Region,,Secondary,All Year Round,Site based only,Jaamiah Al Uloom Al Islamiyyah
Al-Mahdi Learning Institute,669809,,Zeinab Saleh,,,8333 Willoughby Drive,Niagara Falls,Ontario,L2G6X4,905-325-1400,,West Region,info@almahdilearninginstitute.ca,Elementary,Not applicable,Site based only,No
Al-Qasim Academy,667350,,Abrar Ahmed Koya,208,,3482 Lawrence Ave East,Scarborough,Ontario,M1H3E5,416-431-2589,416-431-0904,East Region,jquloom.ca,Elementary,Not applicable,Site based only,No
Al-Risala Academy,665670,Offers credits toward the Ontario Secondary School Diploma (OSSD),NADIM ALWAN,15,,1224 Dundas Street E,MISSISSAUGA,Ontario,L4Y4A2,905-232-8436,905-248-1155,Central Region,http://www.alrisalaacademy.com,Elem/Sec,Not applicable,Online/Site Based,No
Al-Sadeq Academy,669858,,Hassan Tabatabai,,,1485 Janette Avenue,Windsor,Ontario,N8X1Z2,519-256-7171,,West Region,www.alsadeqacademy.com,Elementary,Not applicable,Site based only,No
Al-Taqwa Academy,665037,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sally Kaloti,,,1837 Churchill Ave.,London,Ontario,N5W2L3,519-951-1414,519-601-5566,West Region,www.altaqwa.org,Elem/Sec,Not applicable,Site based only,No
Alathena International Academy,669761,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,,,1065 MCNICOLL AVE,SCARBOROUGH,Ontario,M1W3W6,416-756-3338,416-756-3328,East Region,www.alathena.com,Secondary,All Year Round,Online/Site Based,No
Alathena International Academy - North Y,881704,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,110,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-390-9666,416-390-9666,East Region,www.alathenaschool.com,Secondary,All Year Round,Online/Site Based,No
Alathena International Elementary School,883648,Offers credits toward the Ontario Secondary School Diploma (OSSD),Simon Huynh,112,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,416-385-8886,,East Region,www.alathena.com,Elem/Sec,Not applicable,Online/Site Based,No
Albert College,885126,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mark Musca,,,160 Dundas St W,Belleville,Ontario,K8P1A6,613-968-5726,613-968-9651,East Region,www.albertcollege.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
Alborz Education Centre,666998,Offers credits toward the Ontario Secondary School Diploma (OSSD),Zahra Hemmati,2,,20 Tangreen Crt.,Toronto,Ontario,M2M3Y9,416-221-1443,647-342-0375,Central Region,www.alborzschool.com,Elem/Sec,All Year Round,Online/Site Based,No
Alfajrul Bassem Academy,669480,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dania Wattar,,,874 Sinclair Rd,Oakville,Ontario,L6K2H3,905-514-9995,905-296-5685,Central Region,alfajrulbassem.com,Elem/Sec,Not applicable,Site based only,No
Alive Montessori & Private School,883467,,Julia Simon,,,2 Wembley Road,Toronto,Ontario,M6C2E9,647-990-7323,,Toronto Region,aliveprivateschool.ca,Elementary,Not applicable,Site based only,OFIS
All Nations Academy,669389,,Bilal Rashid,504,,3050 Confederation Pkwy,Mississauga,Ontario,L5B3Z6,647-460-5053,,Central Region,,Elem/Sec,Not applicable,Online/Site Based,No
Alliston Community Christian School,881724,,David Geertsema,,,4428 Adjala-Tecumseth Townline,Alliston,Ontario,L9R1V4,705-434-2227,705-435-0126,Central Region,www.allistonccs.com,Elementary,Not applicable,Site based only,Edvance
Alpha Quality Education Inc,882302,Offers credits toward the Ontario Secondary School Diploma (OSSD),Marta kouchaki,200/210,,6120 A Yonge St,North York,Ontario,M2M3W7,416-661-4446,866-724-9709,Central Region,www.alphahighschools.com,Secondary,All Year Round,Online/Site Based,No
Alpha Star High School,668857,Offers credits toward the Ontario Secondary School Diploma (OSSD),Elnaz Sedaghatalvar,203,,10670 Yonge Street,Richmond Hill,Ontario,L4C3C9,905-237-8177,905-237-0518,Central Region,www.alphahighschools.com,Secondary,All Year Round,Online/Site Based,No
Amairah Private School (APS),882017,Offers credits toward the Ontario Secondary School Diploma (OSSD),AMAN SINGLA,"B6, 7, 8",,1625 Albion Road,Etobicoke,Ontario,M9V5H8,866-262-4724,416-907-1699,Central Region,www.apseducation.com,Secondary,All Year Round,Online/Site Based,No
Amanah Academy North America Foundation,882652,Offers credits toward the Ontario Secondary School Diploma (OSSD),Wali Kazi,,,4140 Finch Ave E,Scarborough,Ontario,M1S3T9,416-750-3939,,East Region,www.amanahacademy.ca,Elem/Sec,Not applicable,Site based only,No
Ambassadors Christian Day School,886398,,Farayi Kutama,,,292257 Culloden Line,Brownsville,Ontario,N0L1C0,519-495-4942,,West Region,,Elementary,Not applicable,Site based only,No
Ambassadors Christian School,669258,,Caroline Vangrootheest,,,2031 Stittsville Main St,Stittsville,Ontario,K2S1B8,343-887-9449,,East Region,www.ambassadorschristianschool.ca,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
Amberson College,667063,Offers credits toward the Ontario Secondary School Diploma (OSSD),Desiree Dong,Unit 201,,7100 Birchmount Road,Markham,Ontario,L3R4H2,416-495-0888,416-495-0809,East Region,www.ambersoncollege.ca,Secondary,All Year Round,Online/Site Based,No
Amberson High School,884298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Desiree Dong,,,7100 Birchmount Road,Markham,Ontario,L3R4H2,905-889-0688,,Central Region,www.ambersoncollege.ca,Secondary,All Year Round,Online/Site Based,No
Amberwood Academy,882140,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Sophia Li,201,,201 Consumers Rd,North York,Ontario,M2J4G8,416-306-2066,,Toronto Region,amberwoodcollege.com,Elem/Sec,Not applicable,Online/Site Based,No
American Islamic High School,885709,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Ahmed Geddy,200,,2020 Winston Park Drive,Oakville,Ontario,L6H6X7,289-207-5733,,Central Region,,Secondary,Not applicable,Online Only,No
American Islamic School,667049,,Ahmed Geddy,200,,2010 Winston Park Drive,Oakville,Ontario,L6H5R7,647-724-8064,,Central Region,www.americanislamic.school,Elem/Sec,Not applicable,Online Only,No
Amish Parochial School #1,887447,,Wendy Kuepfer,,,2740 Chalmers-Forrest Road 1,Millbank,Ontario,N0K1L0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #2,887846,,Leona Kuepfer,,,4036 Line 76 1,Newton,Ontario,N0K1R0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #3,887854,,Katrina Albrecht,,,4286 Line 67 1,Milverton,Ontario,N0K1M0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #4,887706,,Janessa Wagler,,,4852 Line 72 2,Milverton,Ontario,N0K1M0,519-597-2789,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #5,889687,,Jolene Jantzi,,,6327 Road 116 1,Milverton,Ontario,N0K1M0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #6,882631,,Christina Ebersol,,,5124 B Line 62 2,Milverton,Ontario,N0K1M0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial School #7,876364,,Julianne Streicher,6943,,129 Perth Road,Newton,Ontario,N0K1R0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Amish Parochial school #8,665285,,Anita Ebersol,,,7023 Road 136 1,Newton,Ontario,N0K1R0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
An-Noor Private School,877115,,Amney Behiry,,,1480 Janette Ave,Windsor,Ontario,N8X1Z4,519-966-4422,519-966-5233,West Region,,Elementary,Not applicable,Site based only,No
Anchor Preparatory College,669477,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Kexin Feng,14,,2171 Dunwin Drive,Mississauga,Ontario,L5L1X2,905-997-6588,,Central Region,caredu.com,Elem/Sec,Summer,Online/Site Based,No
Apex Academy,885063,Offers credits toward the Ontario Secondary School Diploma (OSSD),Frances Hatcher,220,,410 Adelaide Street West,Toronto,Ontario,M5V1S8,866-428-0666,,Toronto Region,www.apexacademyonline.com,Secondary,All Year Round,Online Only,No
Apollo High School,668639,Offers credits toward the Ontario Secondary School Diploma (OSSD),Timothy Kim,200,,80 Sheppard Avenue West,Toronto,Ontario,M2N1M2,416-229-1999,,Central Region,www.apollohighschool.ca,Secondary,Not applicable,Site based only,No
Appleby College,885924,Offers credits toward the Ontario Secondary School Diploma (OSSD),Innes van Nostrand,,,540 Lakeshore Rd W,Oakville,Ontario,L6K3P1,905-845-4681,905-845-9335,Central Region,http://www.appleby.on.ca,Elem/Sec,Not applicable,Site based only,"CIS, CAIS, College Board"
Applewood Academy,666009,,Terry Stevenson,,,72 Orchard Drive,Belleville,Ontario,K8P2K7,613-962-1042,613-967-3998,East Region,www.applewoodacademy.com,Elem/Sec,Not applicable,Site based only,OARTY
Applewood Academy and Daycare,882456,,April Koster-Welwood,06-Jan,,333 Fairhill Avenue,Brampton,Ontario,L7A3N9,905-970-1090,,Central Region,www.applewoodacademydc.com,Elementary,Not applicable,Site based only,No
Ar Rashaad Center,888701,,Sazia Atcha,1&2,,18 Automatic road,Brampton,Ontario,L6S5N5,905-595-1137,,Central Region,www.arrashaad.com,Elementary,Not applicable,Site based only,No
Ariss Valley Parochial School,884122,,Lucille Brubacher,,,5986 Eighth Line,Ariss,Ontario,N0B1B0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Arkana Education,665719,Offers credits toward the Ontario Secondary School Diploma (OSSD),Shahin Esmaeiliazad,,,900 York Mills Road,North York,Ontario,M3B3H2,416-222-4461,,Central Region,www.arkanaeducation.org,Elem/Sec,All Year Round,Online/Site Based,No
Arkana Education Sudbury,889722,,Shahin Esmaeiliazad,,,"Level 2, 124 Cedar Street",Sudbury,Ontario,P3E3L6,416-897-4461,,North Region,,Elem/Sec,Not applicable,Online Only,No
Arrowsmith School,880779,,Shelley Woon,,,245 St Clair Ave W,Toronto,Ontario,M4V1R3,416-963-4962,416-963-5017,Toronto Region,http://www.arrowsmithschool.org,Elem/Sec,Not applicable,Online/Site Based,Ontario Federation of Independent Schools
Arthur Christian School,665378,,Keith Brubacher,,340,161 Eliza Street,Arthur,Ontario,N0G1A0,519-848-2218,519-848-9830,West Region,,Elem/Sec,Not applicable,Site based only,No
As-Sadiq Islamic,876798,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mario Boccia,,,9000 Bathurst St,Thornhill,Ontario,L4J8A7,905-695-1588,905-695-1590,Central Region,http://www.as-sadiqschool.com,Elem/Sec,Not applicable,Site based only,No
Ashbury College,886297,Offers credits toward the Ontario Secondary School Diploma (OSSD),Norman Southward,,,362 Mariposa Ave,Ottawa,Ontario,K1M0T3,613-749-5954,613-749-9724,East Region,http://www.ashbury.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools
