,,,"Vaughan, City [Census subdivision], Ontario",,,,,,"York, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,  246655,,  119050,,  127605,,  905545,,  437285,,  468255,
"Income of individuals in 2015","  Without after-tax income",,   11800,,    5725,,    6075,,   45520,,   22490,,   23025,
"Income of individuals in 2015","  With after-tax income",,  234855,,  113325,,  121535,,  860030,,  414800,,  445230,
"Income of individuals in 2015","  Percentage with after-tax income",,     95.2,,     95.2,,     95.2,,     95.0,,     94.9,,     95.1,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   38285,,   16555,,   21730,,  156585,,   68235,,   88345,
"Income of individuals in 2015","    $10;000 to $19;999",,   40210,,   16640,,   23570,,  154935,,   65800,,   89140,
"Income of individuals in 2015","    $20;000 to $29;999",,   32420,,   14120,,   18300,,  115705,,   50270,,   65430,
"Income of individuals in 2015","    $30;000 to $39;999",,   26840,,   12100,,   14740,,   94875,,   42500,,   52370,
"Income of individuals in 2015","    $40;000 to $49;999",,   24180,,   11345,,   12835,,   83675,,   39440,,   44230,
"Income of individuals in 2015","    $50;000 to $59;999",,   18845,,    9665,,    9185,,   65245,,   33265,,   31980,
"Income of individuals in 2015","    $60;000 to $69;999",,   14740,,    8290,,    6455,,   50870,,   28295,,   22570,
"Income of individuals in 2015","    $70;000 to $79;999",,   12510,,    6860,,    5655,,   43065,,   23825,,   19245,
"Income of individuals in 2015","    $80;000 and over",,   26825,,   17760,,    9065,,   95075,,   63160,,   31915,
"Income of individuals in 2015","      $80;000 to $89;999",,    8435,,    4785,,    3655,,   29760,,   17415,,   12345,
"Income of individuals in 2015","      $90;000 to $99;999",,    4955,,    3250,,    1710,,   17845,,   11675,,    6165,
"Income of individuals in 2015","      $100;000 and over",,   13440,,    9725,,    3705,,   47470,,   34065,,   13405,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,  246655,,  119055,,  127605,,  905545,,  437290,,  468255,
"Income of individuals in 2015","  Without employment income",,   65185,,   27675,,   37510,,  256500,,  108570,,  147930,
"Income of individuals in 2015","  With employment income",,  181470,,   91375,,   90095,,  649045,,  328720,,  320325,
"Income of individuals in 2015","  Percentage with employment income",,     73.6,,     76.8,,     70.6,,     71.7,,     75.2,,     68.4,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   19950,,    9210,,   10745,,   79430,,   36680,,   42755,
"Income of individuals in 2015","    $5;000 to $9;999",,   14230,,    6445,,    7790,,   54120,,   24350,,   29775,
"Income of individuals in 2015","    $10;000 to $19;999",,   23890,,   10910,,   12975,,   88210,,   41275,,   46935,
"Income of individuals in 2015","    $20;000 to $29;999",,   17890,,    7790,,   10095,,   65175,,   29430,,   35740,
"Income of individuals in 2015","    $30;000 to $39;999",,   16460,,    7105,,    9360,,   58215,,   26065,,   32150,
"Income of individuals in 2015","    $40;000 to $49;999",,   15760,,    6970,,    8785,,   54055,,   24715,,   29340,
"Income of individuals in 2015","    $50;000 to $59;999",,   13810,,    6670,,    7140,,   45970,,   22510,,   23460,
"Income of individuals in 2015","    $60;000 to $69;999",,   11460,,    6080,,    5375,,   38615,,   20145,,   18470,
"Income of individuals in 2015","    $70;000 to $79;999",,    9555,,    5325,,    4235,,   32120,,   17875,,   14250,
"Income of individuals in 2015","    $80;000 and over",,   38460,,   24865,,   13595,,  133130,,   85670,,   47455,
"Income of individuals in 2015","      $80;000 to $89;999",,    8415,,    4935,,    3485,,   28395,,   16350,,   12050,
"Income of individuals in 2015","      $90;000 to $99;999",,    8140,,    4250,,    3895,,   27645,,   14705,,   12935,
"Income of individuals in 2015","      $100;000 and over",,   21905,,   15685,,    6225,,   77085,,   54615,,   22470,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   94255,,,...,,...,  357085,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,  105351,,,...,,...,   95776,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   90615,,,...,,...,   82804,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   12155,,,...,,...,   52500,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   40964,,,...,,...,   40454,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   36480,,,...,,...,   36026,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   82095,,,...,,...,  304585,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,  116295,,,...,,...,  107385,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   99580,,,...,,...,   92578,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   94255,,,...,,...,  357085,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,  133095,,,...,,...,  122446,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,  106775,,,...,,...,   98832,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,   12160,,,...,,...,   52565,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   59472,,,...,,...,   57702,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   47814,,,...,,...,   46180,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   82095,,,...,,...,  304515,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  144001,,,...,,...,  133622,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,  115510,,,...,,...,  107921,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   94255,,,...,,...,  357085,,,...,,...
"Income of households in 2015","  Under $5;000",,     965,,,...,,...,    5500,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     585,,,...,,...,    3450,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     960,,,...,,...,    5325,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1565,,,...,,...,    7965,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2260,,,...,,...,    9355,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2205,,,...,,...,   10455,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2575,,,...,,...,   10985,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2710,,,...,,...,   11085,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2710,,,...,,...,   10920,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2670,,,...,,...,   10870,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    5235,,,...,,...,   21215,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    5205,,,...,,...,   20700,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    5025,,,...,,...,   20190,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    4950,,,...,,...,   19530,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    4945,,,...,,...,   19170,,,...,,...
"Income of households in 2015","  $100;000 and over",,   49700,,,...,,...,  170370,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   11540,,,...,,...,   42390,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    9960,,,...,,...,   34225,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,   13745,,,...,,...,   45395,,,...,,...
"Income of households in 2015","    $200;000 and over",,   14455,,,...,,...,   48355,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   94255,,,...,,...,  357085,,,...,,...
"Income of households in 2015","  Under $5;000",,    1100,,,...,,...,    6055,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     600,,,...,,...,    3525,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,     995,,,...,,...,    5435,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    1645,,,...,,...,    8330,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2420,,,...,,...,   10155,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2410,,,...,,...,   11380,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2810,,,...,,...,   12270,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    3155,,,...,,...,   12625,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    3165,,,...,,...,   13085,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    3200,,,...,,...,   12930,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    6415,,,...,,...,   25790,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    6290,,,...,,...,   25055,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    6320,,,...,,...,   24930,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    6230,,,...,,...,   23930,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    5925,,,...,,...,   21955,,,...,,...
"Income of households in 2015","  $100;000 and over",,   41575,,,...,,...,  139635,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,   13425,,,...,,...,   46615,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,   10155,,,...,,...,   33530,,,...,,...
"Income of households in 2015","    $150;000 and over",,   17995,,,...,,...,   59495,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   81655,,,...,,...,  301820,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,  115147,,,...,,...,  106298,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   98601,,,...,,...,   91633,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.5,,,...,,...,      3.4,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,   18330,,,...,,...,   73975,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   81849,,,...,,...,   85225,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   71508,,,...,,...,   74066,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   52075,,,...,,...,  181785,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  134945,,,...,,...,  126337,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,  114530,,,...,,...,  107763,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.2,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    9235,,,...,,...,   37465,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   72019,,,...,,...,   64186,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   64311,,,...,,...,   58183,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.8,,,...,,...,      2.7,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   81600,,,...,,...,  301660,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,  143173,,,...,,...,  132766,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,  114737,,,...,,...,  107111,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,   18475,,,...,,...,   74015,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,  118419,,,...,,...,  115111,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   92939,,,...,,...,   91059,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   51935,,,...,,...,  181555,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  162646,,,...,,...,  151941,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  130286,,,...,,...,  122411,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    9255,,,...,,...,   37470,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   85586,,,...,,...,   77761,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   71814,,,...,,...,   66120,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   16725,,    6935,,    9785,,   73925,,   32615,,   41305,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   33976,,   41320,,   29798,,   33437,,   36813,,   31250,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   31232,,   36721,,   27951,,   30558,,   33044,,   28942,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   16705,,    6945,,    9765,,   73920,,   32525,,   41395,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   51572,,   59060,,   46248,,   49689,,   54146,,   46187,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   41978,,   46883,,   38490,,   40315,,   43053,,   38164,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  304145,,  148415,,  155730,, 1100950,,  537640,,  563305,
"Income of economic families in 2015","  In the bottom half of the distribution",,  109660,,   51800,,   57860,,  445670,,  212490,,  233185,
"Income of economic families in 2015","    In the bottom decile",,   17550,,    8415,,    9130,,   91175,,   43965,,   47215,
"Income of economic families in 2015","    In the second decile",,   20645,,    9250,,   11395,,   89325,,   41370,,   47955,
"Income of economic families in 2015","    In the third decile",,   22620,,   10665,,   11960,,   86835,,   41200,,   45640,
"Income of economic families in 2015","    In the fourth decile",,   23070,,   11060,,   12005,,   85940,,   41350,,   44590,
"Income of economic families in 2015","    In the fifth decile",,   25775,,   12405,,   13370,,   92395,,   44610,,   47785,
"Income of economic families in 2015","  In the top half of the distribution",,  194485,,   96615,,   97870,,  655280,,  325155,,  330125,
"Income of economic families in 2015","    In the sixth decile",,   28415,,   13885,,   14530,,   99705,,   48690,,   51015,
"Income of economic families in 2015","    In the seventh decile",,   33030,,   16235,,   16795,,  111200,,   54605,,   56600,
"Income of economic families in 2015","    In the eighth decile",,   38055,,   18850,,   19205,,  127460,,   62975,,   64485,
"Income of economic families in 2015","    In the ninth decile",,   45155,,   22495,,   22655,,  148525,,   73995,,   74535,
"Income of economic families in 2015","    In the top decile",,   49830,,   25150,,   24680,,  168380,,   84890,,   83495,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  304145,,  148420,,  155730,, 1100690,,  537525,,  563165,
"Low income in 2015","  0 to 17 years",,   70050,,   35770,,   34280,,  240140,,  123460,,  116685,
"Low income in 2015","    0 to 5 years",,   19945,,   10160,,    9785,,   69750,,   35665,,   34085,
"Low income in 2015","  18 to 64 years",,  192450,,   92935,,   99515,,  705355,,  341145,,  364210,
"Low income in 2015","  65 years and over",,   41650,,   19715,,   21930,,  155190,,   72920,,   82275,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   26780,,   12690,,   14090,,  132450,,   63060,,   69395,
"Low income in 2015","  0 to 17 years",,    7375,,    3825,,    3550,,   34050,,   17770,,   16285,
"Low income in 2015","    0 to 5 years",,    2070,,    1105,,     960,,   10015,,    5240,,    4775,
"Low income in 2015","  18 to 64 years",,   15585,,    7320,,    8265,,   80570,,   37700,,   42870,
"Low income in 2015","  65 years and over",,    3820,,    1540,,    2275,,   17825,,    7590,,   10240,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,      8.8,,      8.6,,      9.0,,     12.0,,     11.7,,     12.3,
"Low income in 2015","  0 to 17 years (%)",,     10.5,,     10.7,,     10.4,,     14.2,,     14.4,,     14.0,
"Low income in 2015","    0 to 5 years (%)",,     10.4,,     10.9,,      9.8,,     14.4,,     14.7,,     14.0,
"Low income in 2015","  18 to 64 years (%)",,      8.1,,      7.9,,      8.3,,     11.4,,     11.1,,     11.8,
"Low income in 2015","  65 years and over (%)",,      9.2,,      7.8,,     10.4,,     11.5,,     10.4,,     12.4,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   20855,,    9860,,   10995,,  101265,,   48450,,   52815,
"Low income in 2015","  0 to 17 years",,    5675,,    2950,,    2725,,   25495,,   13300,,   12195,
"Low income in 2015","    0 to 5 years",,    1605,,     865,,     745,,    7470,,    3930,,    3540,
"Low income in 2015","  18 to 64 years",,   12940,,    6025,,    6910,,   65660,,   30995,,   34660,
"Low income in 2015","  65 years and over",,    2240,,     880,,    1360,,   10115,,    4155,,    5955,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      6.9,,      6.6,,      7.1,,      9.2,,      9.0,,      9.4,
"Low income in 2015","  0 to 17 years (%)",,      8.1,,      8.2,,      7.9,,     10.6,,     10.8,,     10.5,
"Low income in 2015","    0 to 5 years (%)",,      8.0,,      8.5,,      7.6,,     10.7,,     11.0,,     10.4,
"Low income in 2015","  18 to 64 years (%)",,      6.7,,      6.5,,      6.9,,      9.3,,      9.1,,      9.5,
"Low income in 2015","  65 years and over (%)",,      5.4,,      4.5,,      6.2,,      6.5,,      5.7,,      7.2,

Symbols:
...,not applicable

Notes:
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;
,    *benefits from Employment Insurance and Québec parental insurance plan;
,    *child benefits from federal and provincial programs;
,    *social assistance benefits;
,    *workers' compensation benefits;
,    *Working income tax benefit;
,    *Goods and services tax credit and harmonized sales tax credit;
,    *other income from government sources.
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
