,,,"Oshawa, City [Census subdivision], Ontario",,,,,,"Durham, Regional municipality [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   35875,,   41483,,   30604,,   40280,,   46704,,   34288,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,  108840,,   54070,,   54765,,  450320,,  222340,,  227985,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   41878,,   50643,,   33224,,   48598,,   58488,,   38953,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   93365,,   41705,,   51660,,  349105,,  151155,,  197945,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    8083,,    7286,,    8726,,    7090,,    6365,,    7644,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   91670,,   47805,,   43870,,  385985,,  197255,,  188725,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   40964,,   46938,,   34454,,   48217,,   55920,,   40165,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,  131110,,   63490,,   67625,,  523485,,  252970,,  270515,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   42895,,   24035,,   18860,,  191215,,  106020,,   85200,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   53881,,   59508,,   47683,,   60089,,   66395,,   53793,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   61469,,   68287,,   52779,,   69517,,   77133,,   60038,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     85.7,,     89.8,,     80.2,,     89.8,,     93.0,,     85.5,
"Income of individuals in 2015","    Employment income (%)",29,     70.4,,     73.7,,     66.1,,     76.1,,     78.7,,     72.7,
"Income of individuals in 2015","  Government transfers (%)",30,     14.3,,     10.2,,     19.8,,     10.2,,      7.0,,     14.5,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,  131110,,   63490,,   67625,,  523485,,  252970,,  270515,
"Income of individuals in 2015","  Without total income",,    6160,,    2895,,    3265,,   26085,,   12600,,   13485,
"Income of individuals in 2015","  With total income",,  124950,,   60590,,   64360,,  497400,,  240370,,  257030,
"Income of individuals in 2015","  Percentage with total income",,     95.3,,     95.4,,     95.2,,     95.0,,     95.0,,     95.0,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   18190,,    8015,,   10175,,   73800,,   31630,,   42170,
"Income of individuals in 2015","    $10;000 to $19;999",,   21940,,    8405,,   13540,,   76740,,   30080,,   46660,
"Income of individuals in 2015","    $20;000 to $29;999",,   17260,,    6495,,   10765,,   59100,,   23145,,   35955,
"Income of individuals in 2015","    $30;000 to $39;999",,   14370,,    6480,,    7890,,   50115,,   22000,,   28115,
"Income of individuals in 2015","    $40;000 to $49;999",,   13855,,    7070,,    6785,,   49640,,   23300,,   26335,
"Income of individuals in 2015","    $50;000 to $59;999",,   10670,,    5775,,    4895,,   41460,,   20875,,   20580,
"Income of individuals in 2015","    $60;000 to $69;999",,    7540,,    4435,,    3105,,   32920,,   17815,,   15105,
"Income of individuals in 2015","    $70;000 to $79;999",,    5825,,    3640,,    2185,,   26460,,   15180,,   11280,
"Income of individuals in 2015","    $80;000 to $89;999",,    4540,,    2825,,    1715,,   21490,,   12540,,    8950,
"Income of individuals in 2015","    $90;000 to $99;999",,    3435,,    2095,,    1345,,   18150,,   10325,,    7830,
"Income of individuals in 2015","    $100;000 and over",,    7335,,    5370,,    1960,,   47535,,   33480,,   14055,
"Income of individuals in 2015","      $100;000 to $149;999",,    5545,,    3970,,    1575,,   33825,,   23040,,   10785,
"Income of individuals in 2015","      $150;000 and over",,    1790,,    1400,,     390,,   13710,,   10440,,    3265,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,  131110,,   63490,,   67625,,  523485,,  252970,,  270510,
"Income of individuals in 2015","  Without after-tax income",,    6115,,    2890,,    3220,,   25900,,   12585,,   13320,
"Income of individuals in 2015","  With after-tax income",,  124995,,   60590,,   64405,,  497585,,  240385,,  257200,
"Income of individuals in 2015","  Percentage with after-tax income",,     95.3,,     95.4,,     95.2,,     95.1,,     95.0,,     95.1,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   18675,,    8120,,   10555,,   75920,,   32070,,   43850,
"Income of individuals in 2015","    $10;000 to $19;999",,   22940,,    8800,,   14135,,   80275,,   31630,,   48645,
"Income of individuals in 2015","    $20;000 to $29;999",,   19940,,    7805,,   12135,,   68605,,   27660,,   40945,
"Income of individuals in 2015","    $30;000 to $39;999",,   17940,,    8615,,    9325,,   62700,,   28485,,   34215,
"Income of individuals in 2015","    $40;000 to $49;999",,   15600,,    8295,,    7305,,   58660,,   29010,,   29650,
"Income of individuals in 2015","    $50;000 to $59;999",,   10285,,    5995,,    4290,,   44300,,   23890,,   20410,
"Income of individuals in 2015","    $60;000 to $69;999",,    7245,,    4555,,    2695,,   33590,,   19570,,   14020,
"Income of individuals in 2015","    $70;000 to $79;999",,    5005,,    3095,,    1915,,   26270,,   15225,,   11045,
"Income of individuals in 2015","    $80;000 and over",,    7360,,    5320,,    2045,,   47260,,   32845,,   14410,
"Income of individuals in 2015","      $80;000 to $89;999",,    2990,,    1990,,     995,,   16970,,   10660,,    6310,
"Income of individuals in 2015","      $90;000 to $99;999",,    1580,,    1155,,     425,,    9910,,    6875,,    3030,
"Income of individuals in 2015","      $100;000 and over",,    2795,,    2165,,     625,,   20385,,   15310,,    5070,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,  131115,,   63485,,   67625,,  523480,,  252970,,  270510,
"Income of individuals in 2015","  Without employment income",,   39440,,   15620,,   23820,,  137500,,   55465,,   82035,
"Income of individuals in 2015","  With employment income",,   91675,,   47865,,   43810,,  385985,,  197505,,  188480,
"Income of individuals in 2015","  Percentage with employment income",,     69.9,,     75.4,,     64.8,,     73.7,,     78.1,,     69.7,
"Income of individuals in 2015","    Under $5;000 (including loss)",,   15605,,    8450,,    7155,,   56155,,   28635,,   27520,
"Income of individuals in 2015","    $5;000 to $9;999",,    6970,,    2985,,    3985,,   29245,,   12575,,   16670,
"Income of individuals in 2015","    $10;000 to $19;999",,   11620,,    4925,,    6700,,   45835,,   20145,,   25685,
"Income of individuals in 2015","    $20;000 to $29;999",,    9710,,    4260,,    5445,,   35690,,   15580,,   20110,
"Income of individuals in 2015","    $30;000 to $39;999",,    9055,,    4170,,    4880,,   34130,,   14935,,   19195,
"Income of individuals in 2015","    $40;000 to $49;999",,    8650,,    4280,,    4370,,   33755,,   15355,,   18395,
"Income of individuals in 2015","    $50;000 to $59;999",,    7320,,    3965,,    3350,,   30340,,   15280,,   15060,
"Income of individuals in 2015","    $60;000 to $69;999",,    5540,,    3280,,    2260,,   25355,,   13740,,   11620,
"Income of individuals in 2015","    $70;000 to $79;999",,    4660,,    2965,,    1695,,   21470,,   12435,,    9040,
"Income of individuals in 2015","    $80;000 and over",,   12550,,    8580,,    3970,,   74010,,   48820,,   25190,
"Income of individuals in 2015","      $80;000 to $89;999",,    3750,,    2315,,    1430,,   18225,,   10725,,    7495,
"Income of individuals in 2015","      $90;000 to $99;999",,    2915,,    1790,,    1125,,   16130,,    9120,,    7005,
"Income of individuals in 2015","      $100;000 and over",,    5885,,    4470,,    1410,,   39660,,   28975,,   10685,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   62595,,,...,,...,  227910,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   70211,,,...,,...,   89834,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   61873,,,...,,...,   77398,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   16260,,,...,,...,   44380,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   37067,,,...,,...,   41798,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   33399,,,...,,...,   36908,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   46340,,,...,,...,  183525,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   85155,,,...,,...,  103544,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   74795,,,...,,...,   88658,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 25% sample data",35,   62595,,,...,,...,  227905,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   84871,,,...,,...,  106886,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   71579,,,...,,...,   87865,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",,   16255,,,...,,...,   44375,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   44849,,,...,,...,   52062,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   37764,,,...,,...,   42943,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,   46335,,,...,,...,  183535,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,   98914,,,...,,...,  120141,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   83444,,,...,,...,   98726,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,   62595,,,...,,...,  227905,,,...,,...
"Income of households in 2015","  Under $5;000",,     675,,,...,,...,    1890,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     705,,,...,,...,    1725,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1820,,,...,,...,    3725,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2160,,,...,,...,    5010,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2615,,,...,,...,    6400,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2420,,,...,,...,    6080,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2550,,,...,,...,    6835,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    2565,,,...,,...,    7080,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    2810,,,...,,...,    7730,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    2660,,,...,,...,    7485,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    5325,,,...,,...,   15510,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    4900,,,...,,...,   15475,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    4445,,,...,,...,   14730,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    4110,,,...,,...,   14505,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    3705,,,...,,...,   13980,,,...,,...
"Income of households in 2015","  $100;000 and over",,   19145,,,...,,...,   99745,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    7030,,,...,,...,   29645,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    4660,,,...,,...,   22555,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",,    4690,,,...,,...,   26735,,,...,,...
"Income of households in 2015","    $200;000 and over",,    2765,,,...,,...,   20810,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,   62595,,,...,,...,  227910,,,...,,...
"Income of households in 2015","  Under $5;000",,     715,,,...,,...,    2085,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,     710,,,...,,...,    1755,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,    1850,,,...,,...,    3795,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,    2255,,,...,,...,    5275,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,    2905,,,...,,...,    7130,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,    2740,,,...,,...,    6950,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,    2975,,,...,,...,    7880,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,    3245,,,...,,...,    8920,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,    3265,,,...,,...,    9100,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,    3255,,,...,,...,    9465,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",,    6260,,,...,,...,   19250,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",,    5685,,,...,,...,   18700,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,    5055,,,...,,...,   18400,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,    4490,,,...,,...,   17310,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,    3570,,,...,,...,   15220,,,...,,...
"Income of households in 2015","  $100;000 and over",,   13615,,,...,,...,   76675,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",,    6325,,,...,,...,   30520,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,    3565,,,...,,...,   19610,,,...,,...
"Income of households in 2015","    $150;000 and over",,    3725,,,...,,...,   26545,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37,   44425,,,...,,...,  179625,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   84822,,,...,,...,  103043,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   74402,,,...,,...,   88198,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.0,,,...,,...,      3.2,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",,   14545,,,...,,...,   52480,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   77534,,,...,,...,   87910,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   67990,,,...,,...,   75774,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",,   18970,,,...,,...,   92455,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  110111,,,...,,...,  127140,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   94650,,,...,,...,  107456,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",,    9445,,,...,,...,   29965,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   52379,,,...,,...,   64311,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   48622,,,...,,...,   57821,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.8,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 25% sample data",38,   44420,,,...,,...,  179510,,,...,,...
"Income of economic families in 2015","  Average total income of economic families in 2015 ($)",,   98829,,,...,,...,  119898,,,...,,...
"Income of economic families in 2015","  Average after-tax income of economic families in 2015 ($)",,   83229,,,...,,...,   98401,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data",,   14470,,,...,,...,   52385,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families without children or other relatives in 2015 ($)",,   89666,,,...,,...,  104118,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families without children or other relatives in 2015 ($)",,   75392,,,...,,...,   85282,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data",,   19060,,,...,,...,   92490,,,...,,...
"Income of economic families in 2015","  Average total income of couple economic families with children in 2015 ($)",,  124431,,,...,,...,  143831,,,...,,...
"Income of economic families in 2015","  Average after-tax income of couple economic families with children in 2015 ($)",,  103362,,,...,,...,  117085,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data",,    9440,,,...,,...,   29945,,,...,,...
"Income of economic families in 2015","  Average total income of lone-parent economic families in 2015 ($)",,   61408,,,...,,...,   74308,,,...,,...
"Income of economic families in 2015","  Average after-tax income of lone-parent economic families in 2015 ($)",,   54412,,,...,,...,   63643,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data",21,   22990,,   11540,,   11450,,   60295,,   28515,,   31780,
"Income of economic families in 2015","  Median total income in 2015 for persons aged 15 years and over not in economic families ($)",39,   32234,,   36001,,   29782,,   37521,,   41938,,   34351,
"Income of economic families in 2015","  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",39,   29410,,   32183,,   27552,,   33628,,   36742,,   31241,
"Income of economic families in 2015","Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data",40,   22930,,   11510,,   11420,,   60230,,   28440,,   31800,
"Income of economic families in 2015","  Average total income in 2015 for persons aged 15 years and over not in economic families ($)",41,   40225,,   43350,,   37074,,   47099,,   51876,,   42828,
"Income of economic families in 2015","  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($)",41,   34160,,   36134,,   32170,,   39195,,   42202,,   36505,
"Income of economic families in 2015","Total - Economic family income decile group for the population in private households - 100% data",42,  157630,,   77115,,   80520,,  639490,,  312280,,  327210,
"Income of economic families in 2015","  In the bottom half of the distribution",,   81010,,   38350,,   42655,,  255840,,  120390,,  135450,
"Income of economic families in 2015","    In the bottom decile",,   16760,,    8110,,    8655,,   42085,,   20055,,   22030,
"Income of economic families in 2015","    In the second decile",,   15210,,    6670,,    8540,,   46015,,   20540,,   25480,
"Income of economic families in 2015","    In the third decile",,   15425,,    7225,,    8200,,   50080,,   23230,,   26850,
"Income of economic families in 2015","    In the fourth decile",,   16555,,    7930,,    8630,,   56220,,   26720,,   29500,
"Income of economic families in 2015","    In the fifth decile",,   17060,,    8420,,    8635,,   61435,,   29850,,   31585,
"Income of economic families in 2015","  In the top half of the distribution",,   76620,,   38760,,   37865,,  383650,,  191890,,  191760,
"Income of economic families in 2015","    In the sixth decile",,   16755,,    8425,,    8330,,   67645,,   33300,,   34345,
"Income of economic families in 2015","    In the seventh decile",,   16720,,    8390,,    8330,,   74095,,   36590,,   37505,
"Income of economic families in 2015","    In the eighth decile",,   17105,,    8615,,    8490,,   80920,,   40450,,   40465,
"Income of economic families in 2015","    In the ninth decile",,   15940,,    8115,,    7825,,   87405,,   43980,,   43425,
"Income of economic families in 2015","    In the top decile",,   10100,,    5210,,    4890,,   73590,,   37565,,   36020,
"Low income in 2015","Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data",43,  157630,,   77115,,   80515,,  639365,,  312205,,  327155,
"Low income in 2015","  0 to 17 years",,   31900,,   16345,,   15560,,  141345,,   72110,,   69230,
"Low income in 2015","    0 to 5 years",,   10605,,    5475,,    5135,,   43280,,   22090,,   21195,
"Low income in 2015","  18 to 64 years",,  100655,,   49545,,   51110,,  409770,,  199825,,  209945,
"Low income in 2015","  65 years and over",,   25075,,   11225,,   13855,,   88250,,   40275,,   47980,
"Low income in 2015","In low income based on the Low-income measure; after tax (LIM-AT)",,   22890,,   10495,,   12405,,   62035,,   28460,,   33570,
"Low income in 2015","  0 to 17 years",,    6620,,    3390,,    3230,,   18740,,    9525,,    9215,
"Low income in 2015","    0 to 5 years",,    2390,,    1225,,    1160,,    5930,,    3020,,    2910,
"Low income in 2015","  18 to 64 years",,   13860,,    6330,,    7530,,   36030,,   16450,,   19575,
"Low income in 2015","  65 years and over",,    2415,,     775,,    1640,,    7270,,    2485,,    4785,
"Low income in 2015","Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%)",,     14.5,,     13.6,,     15.4,,      9.7,,      9.1,,     10.3,
"Low income in 2015","  0 to 17 years (%)",,     20.8,,     20.7,,     20.8,,     13.3,,     13.2,,     13.3,
"Low income in 2015","    0 to 5 years (%)",,     22.5,,     22.4,,     22.6,,     13.7,,     13.7,,     13.7,
"Low income in 2015","  18 to 64 years (%)",,     13.8,,     12.8,,     14.7,,      8.8,,      8.2,,      9.3,
"Low income in 2015","  65 years and over (%)",,      9.6,,      6.9,,     11.8,,      8.2,,      6.2,,     10.0,
"Low income in 2015","In low income based on the Low-income cut-offs; after tax (LICO-AT)",,   13665,,    6785,,    6880,,   38065,,   18315,,   19745,
"Low income in 2015","  0 to 17 years",,    3395,,    1780,,    1610,,   10665,,    5425,,    5240,
"Low income in 2015","    0 to 5 years",,    1265,,     680,,     585,,    3330,,    1710,,    1620,
"Low income in 2015","  18 to 64 years",,    9735,,    4795,,    4945,,   25025,,   12010,,   13010,
"Low income in 2015","  65 years and over",,     540,,     210,,     325,,    2370,,     880,,    1495,
"Low income in 2015","Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%)",,      8.7,,      8.8,,      8.5,,      6.0,,      5.9,,      6.0,
"Low income in 2015","  0 to 17 years (%)",,     10.6,,     10.9,,     10.3,,      7.5,,      7.5,,      7.6,
"Low income in 2015","    0 to 5 years (%)",,     11.9,,     12.4,,     11.4,,      7.7,,      7.7,,      7.6,
"Low income in 2015","  18 to 64 years (%)",,      9.7,,      9.7,,      9.7,,      6.1,,      6.0,,      6.2,
"Low income in 2015","  65 years and over (%)",,      2.2,,      1.9,,      2.3,,      2.7,,      2.2,,      3.1,

Symbols:
...,not applicable

Notes:
21, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.
,Receipts excluded from this income definition are:
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;
,    *benefits from Employment Insurance and Québec parental insurance plan;
,    *child benefits from federal and provincial programs;
,    *social assistance benefits;
,    *workers' compensation benefits;
,    *Working income tax benefit;
,    *Goods and services tax credit and harmonized sales tax credit;
,    *other income from government sources.
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;
,    *statistical units of farm statistical programs such as farm operator and farm family.
