"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2022 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
North Perth MU,4.1,b ,**,,"1,026",b ,"1,009",b ,10.6,c ,592,
Orillia,1.2,a ,**,,"1,199",a ,"1,163",a ,4.2,d ,"1,772",
Oshawa,2.5,b ,**,,"1,452",a ,"1,419",a ,7.5,c ,"13,270",
Ottawa,2.2,a ,**,,"1,479",a ,"1,400",a ,4.0,b ,"78,103",
Owen Sound,1.8,b ,**,,"1,030",a ,979,a ,6.7,b ,"1,943",
Pembroke,1.5,d ,**,,"1,055",b ,988,b ,**,,"1,051",
Petawawa,0.7,b ,**,,992,a ,975,b ,**,,402,
Peterborough,1.0,a ,**,,"1,250",a ,"1,162",a ,5.3,d ,"6,715",
Port Hope,0.5,b ,**,,"1,574",a ,"1,600",b ,**,,581,
Prince Edward County CY,**,,**,,**,,"1,093",c ,**,,520,
Sarnia,2.4,b ,**,,"1,148",a ,"1,060",a ,6.2,b ,"6,538",
Saugeen Shores T,0.9,a ,**,,"1,352",a ,"1,430",b ,**,,658,
Sault Ste. Marie,2.0,a ,**,,"1,043",a ,"1,002",a ,6.5,c ,"5,163",
Scugog TP,**,,**,,"1,193",c ,**,,++,,147,
South Dundas MU,0.0,d ,**,,658,b ,618,b ,**,,323,
South Huron MU,**,,**,,877,b ,850,a ,**,,448,
St. Catharines - Niagara,2.9,a ,**,,"1,199",a ,"1,142",a ,5.5,b ,"17,251",
Stratford,1.9,a ,**,,"1,373",a ,"1,316",a ,23.0,d ,"2,458",
The Nation / La Nation M,**,,**,,**,,**,,**,,99,
Thunder Bay,1.8,b ,**,,"1,100",a ,"1,075",a ,7.5,c ,"6,237",
Tillsonburg,3.8,d ,**,,"1,078",a ,"1,007",a ,++,,899,
Timmins,3.8,d ,**,,"1,030",b ,975,b ,++,,"1,863",
Toronto,1.6,a ,**,,"1,665",a ,"1,600",a ,6.2,a ,"334,883",
Trent Hills MU,**,,**,,**,,**,,**,,23,
Wasaga Beach,**,,**,,**,,**,,**,,5,
West Grey MU,**,,**,,**,,**,,**,,154,
West Nipissing / Nipissing Ouest M,0.5,b ,**,,870,a ,850,c ,14.9,d ,439,
Windsor,1.8,a ,**,,"1,093",a ,"1,078",a ,3.6,c ,"16,288",
Woodstock,1.0,a ,**,,"1,370",a ,"1,400",b ,19.7,d ,"3,360",
Ontario,1.8,a ,**,,"1,474",a ,"1,400",a ,6.0,a ,"724,435",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
