Topic,Characteristics,,Total
Marital status,    Never married,,18060
Marital status,    Separated,,1895
Marital status,    Divorced,,3215
Marital status,    Widowed,,2800
Family characteristics,Total - Census families in private households by family size - 100% data,,30845
Family characteristics,  2 persons,,10485
Family characteristics,  3 persons,,6985
Family characteristics,  4 persons,,9255
Family characteristics,  5 or more persons,,4120
Family characteristics,Average size of census families,,3.3
Family characteristics,Total number of census families in private households - 100% data,,30845
Family characteristics,  Total couple families,,27240
Family characteristics,    Married couples,,24505
Family characteristics,    Common-law couples,,2735
Family characteristics,  Total lone-parent families by sex of parent,,3600
Family characteristics,    Female parent,,2860
Family characteristics,    Male parent,,745
Family characteristics,Total - Couple census families in private households - 100% data,,27240
Family characteristics,  Couples without children,,8505
Family characteristics,  Couples with children,,18735
Family characteristics,    1 child,,5780
Family characteristics,    2 children,,8915
Family characteristics,    3 or more children,,4040
Family characteristics,Total - Lone-parent census families in private households - 100% data,,3600
Family characteristics,  1 child,,1980
Family characteristics,  2 children,,1205
Family characteristics,  3 or more children,,425
Family characteristics,Total - Persons not in census families in private households - 100% data,,8210
Household type,Total - Private households by household type - 100% data,,34260
Household type,  One-census-family households,,27660
Household type,    Without children in a census family,,7255
Household type,    With children in a census family,,20400
Household type,  Multiple-census-family households,,1530
Household type,  Non-census-family households,,5075
Household type,    One-person households,,4495
Household type,    Two-or-more person non-census-family households,,580
Knowledge of official languages,Total - Knowledge of official languages for the total population excluding institutional residents - 100% data,,109380
Knowledge of official languages,  English only,,98830
Knowledge of official languages,  French only,,115
Knowledge of official languages,  English and French,,8745
Knowledge of official languages,  Neither English nor French,,1695
First official language spoken,Total - First official language spoken for the total population excluding institutional residents - 100% data,,109380
First official language spoken,  English,,105205
First official language spoken,  French,,1595
First official language spoken,  English and French,,930
First official language spoken,  Neither English nor French,,1655
First official language spoken,Official language minority (number),,2055
First official language spoken,Official language minority (percentage),,1.9
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,,109380
Mother tongue,  Single responses,,104310
Mother tongue,    Official languages,,69370
Mother tongue,      English,,67880
Mother tongue,      French,,1485
Mother tongue,    Non-official languages,,34940
Mother tongue,      Aboriginal languages,,5
Mother tongue,        Algonquian languages,,0
Mother tongue,          Blackfoot,,0
Mother tongue,          Cree-Montagnais languages,,0
Mother tongue,            Atikamekw,,0
Mother tongue,            Montagnais (Innu),,0
Mother tongue,            Moose Cree,,0
Mother tongue,            Naskapi,,0
Mother tongue,            Northern East Cree,,0
Mother tongue,            Plains Cree,,0
Mother tongue,            Southern East Cree,,0
Mother tongue,            Swampy Cree,,0
Mother tongue,            Woods Cree,,0
Mother tongue,            Cree; n.o.s.,,0
Mother tongue,          Eastern Algonquian languages,,0
Mother tongue,            Malecite,,0
Mother tongue,            Mi'kmaq,,0
Mother tongue,          Ojibway-Potawatomi languages,,5
Mother tongue,            Algonquin,,0
Mother tongue,            Ojibway,,5
Mother tongue,            Oji-Cree,,0
Mother tongue,            Ottawa (Odawa),,0
Mother tongue,          Algonquian languages; n.i.e.,,0
Mother tongue,        Athabaskan languages,,0
Mother tongue,          Northern Athabaskan languages,,0
Mother tongue,            Babine (Wetsuwet'en),,0
Mother tongue,            Beaver,,0
Mother tongue,            Carrier,,0
Mother tongue,            Chilcotin,,0
Mother tongue,            Dene,,0
Mother tongue,            Dogrib (Tlicho),,0
Mother tongue,            Gwich'in,,0
Mother tongue,            Sarsi (Sarcee),,0
Mother tongue,            Sekani,,0
Mother tongue,            Slavey-Hare languages,,0
Mother tongue,              North Slavey (Hare),,0
Mother tongue,              South Slavey,,0
Mother tongue,              Slavey; n.o.s.,,0
Mother tongue,            Tahltan languages,,0
Mother tongue,              Kaska (Nahani),,0
Mother tongue,              Tahltan,,0
Mother tongue,            Tutchone languages,,0
Mother tongue,              Northern Tutchone,,0
Mother tongue,              Southern Tutchone,,0
Mother tongue,          Athabaskan languages; n.i.e.,,0
Mother tongue,        Haida,,0
Mother tongue,        Inuit languages,,0
Mother tongue,          Inuinnaqtun (Inuvialuktun),,0
Mother tongue,          Inuktitut,,0
Mother tongue,          Inuit languages; n.i.e.,,0
Mother tongue,        Iroquoian languages,,0
Mother tongue,          Cayuga,,0
Mother tongue,          Mohawk,,0
Mother tongue,          Oneida,,0
Mother tongue,          Iroquoian languages; n.i.e.,,0
Mother tongue,        Kutenai,,0
Mother tongue,        Michif,,0
Mother tongue,        Salish languages,,0
Mother tongue,          Comox,,0
Mother tongue,          Halkomelem,,0
Mother tongue,          Lillooet,,0
Mother tongue,          Okanagan,,0
Mother tongue,          Shuswap (Secwepemctsin),,0
Mother tongue,          Squamish,,0
Mother tongue,          Straits,,0
Mother tongue,          Thompson (Ntlakapamux),,0
Mother tongue,          Salish languages; n.i.e.,,0
Mother tongue,        Siouan languages,,0
Mother tongue,          Dakota,,0
Mother tongue,          Stoney,,0
Mother tongue,          Siouan languages; n.i.e.,,0
Mother tongue,        Tlingit,,0
Mother tongue,        Tsimshian languages,,0
Mother tongue,          Gitxsan (Gitksan),,0
Mother tongue,          Nisga'a,,0
Mother tongue,          Tsimshian,,0
Mother tongue,        Wakashan languages,,0
Mother tongue,          Haisla,,0
Mother tongue,          Heiltsuk,,0
Mother tongue,          Kwakiutl (Kwak'wala),,0
Mother tongue,          Nuu-chah-nulth (Nootka),,0
Mother tongue,          Wakashan languages; n.i.e.,,0
Mother tongue,        Aboriginal languages; n.o.s.,,0
Mother tongue,      Non-Aboriginal languages,,34935
Mother tongue,        Afro-Asiatic languages,,3220
Mother tongue,          Berber languages,,0
Mother tongue,            Kabyle,,0
Mother tongue,            Berber languages; n.i.e.,,5
Mother tongue,          Cushitic languages,,35
Mother tongue,            Bilen,,0
Mother tongue,            Oromo,,0
Mother tongue,            Somali,,30
Mother tongue,            Cushitic languages; n.i.e.,,0
Mother tongue,          Semitic languages,,3185
Mother tongue,            Amharic,,20
Mother tongue,            Arabic,,2915
Mother tongue,            Assyrian Neo-Aramaic,,100
Mother tongue,            Chaldean Neo-Aramaic,,15
Mother tongue,            Harari,,0
Mother tongue,            Hebrew,,15
Mother tongue,            Maltese,,75
Mother tongue,            Tigrigna,,25
Mother tongue,            Semitic languages; n.i.e.,,20
Mother tongue,          Afro-Asiatic languages; n.i.e.,,0
Mother tongue,        Austro-Asiatic languages,,480
Mother tongue,          Khmer (Cambodian),,15
Mother tongue,          Vietnamese,,460
Mother tongue,          Austro-Asiatic languages; n.i.e,,0
Mother tongue,        Austronesian languages,,2075
Mother tongue,          Bikol,,5
Mother tongue,          Cebuano,,70
Mother tongue,          Fijian,,0
Mother tongue,          Hiligaynon,,20
Mother tongue,          Ilocano,,35
Mother tongue,          Malagasy,,0
Mother tongue,          Malay,,115
Mother tongue,          Pampangan (Kapampangan; Pampango),,45
Mother tongue,          Pangasinan,,0
Mother tongue,          Tagalog (Pilipino; Filipino),,1780
Mother tongue,          Waray-Waray,,0
Mother tongue,          Austronesian languages; n.i.e.,,5
Mother tongue,        Creole languages,,80
Mother tongue,          Haitian Creole,,5
Mother tongue,          Creole; n.o.s.,,55
Mother tongue,          Creole languages; n.i.e.,,20
Mother tongue,        Dravidian languages,,1235
Mother tongue,          Kannada,,45
Mother tongue,          Malayalam,,250
Mother tongue,          Tamil,,700
Mother tongue,          Telugu,,230
Mother tongue,          Dravidian languages; n.i.e.,,10
Mother tongue,        Hmong-Mien languages,,0
Mother tongue,        Indo-European languages,,24820
Mother tongue,          Albanian,,150
Mother tongue,          Armenian,,30
Mother tongue,          Balto-Slavic languages,,4235
Mother tongue,            Baltic languages,,50
Mother tongue,              Latvian,,15
Mother tongue,              Lithuanian,,30
Mother tongue,            Slavic languages,,4185
Mother tongue,              Belarusan,,0
Mother tongue,              Bosnian,,60
Mother tongue,              Bulgarian,,85
Mother tongue,              Croatian,,590
Mother tongue,              Czech,,75
Mother tongue,              Macedonian,,110
Mother tongue,              Polish,,2055
Mother tongue,              Russian,,490
Mother tongue,              Serbian,,340
Mother tongue,              Serbo-Croatian,,25
Mother tongue,              Slovak,,65
Mother tongue,              Slovene (Slovenian),,40
Mother tongue,              Ukrainian,,250
Mother tongue,              Slavic languages; n.i.e.,,0
Mother tongue,          Celtic languages,,10
Mother tongue,            Scottish Gaelic,,5
Mother tongue,            Welsh,,5
Mother tongue,            Celtic languages; n.i.e.,,0
Mother tongue,          Germanic languages,,815
Mother tongue,            Afrikaans,,30
Mother tongue,            Danish,,45
Mother tongue,            Dutch,,240
Mother tongue,            Frisian,,5
Mother tongue,            German,,460
Mother tongue,            Icelandic,,0
Mother tongue,            Norwegian,,10
Mother tongue,            Swedish,,15
Mother tongue,            Vlaams (Flemish),,5
Mother tongue,            Yiddish,,0
Mother tongue,            Germanic languages; n.i.e.,,0
Mother tongue,          Greek,,235
Mother tongue,          Indo-Iranian languages,,13655
Mother tongue,            Indo-Aryan languages,,12745
Mother tongue,              Bengali,,360
Mother tongue,              Gujarati,,795
Mother tongue,              Hindi,,910
Mother tongue,              Kashmiri,,15
Mother tongue,              Konkani,,40
Mother tongue,              Marathi,,80
Mother tongue,              Nepali,,60
Mother tongue,              Oriya (Odia),,10
Mother tongue,              Punjabi (Panjabi),,2055
Mother tongue,              Sindhi,,135
Mother tongue,              Sinhala (Sinhalese),,115
Mother tongue,              Urdu,,8180
Mother tongue,            Iranian languages,,875
Mother tongue,              Kurdish,,25
Mother tongue,              Pashto,,175
Mother tongue,              Persian (Farsi),,675
Mother tongue,            Indo-Iranian languages; n.i.e.,,40
Mother tongue,          Italic (Romance) languages,,5690
Mother tongue,            Catalan,,0
Mother tongue,            Italian,,1195
Mother tongue,            Portuguese,,1510
Mother tongue,            Romanian,,380
Mother tongue,            Spanish,,2605
Mother tongue,            Italic (Romance) languages; n.i.e.,,0
Mother tongue,        Japanese,,50
Mother tongue,        Kartvelian languages,,5
Mother tongue,          Georgian,,0
Mother tongue,        Korean,,365
Mother tongue,        Mongolic languages,,0
Mother tongue,          Mongolian,,0
Mother tongue,        Niger-Congo languages,,250
Mother tongue,          Akan (Twi),,70
Mother tongue,          Bamanankan,,0
Mother tongue,          Edo,,5
Mother tongue,          Ewe,,5
Mother tongue,          Fulah (Pular; Pulaar; Fulfulde),,0
Mother tongue,          Ga,,10
Mother tongue,          Ganda,,5
Mother tongue,          Igbo,,10
Mother tongue,          Lingala,,5
Mother tongue,          Rundi (Kirundi),,0
Mother tongue,          Kinyarwanda (Rwanda),,0
Mother tongue,          Shona,,20
Mother tongue,          Swahili,,30
Mother tongue,          Wolof,,5
Mother tongue,          Yoruba,,55
Mother tongue,          Niger-Congo languages; n.i.e.,,25
Mother tongue,        Nilo-Saharan languages,,10
Mother tongue,          Dinka,,0
Mother tongue,          Nilo-Saharan languages; n.i.e.,,5
Mother tongue,        Sign languages,,105
Mother tongue,          American Sign Language,,85
Mother tongue,          Quebec Sign Language,,0
Mother tongue,          Sign languages; n.i.e,,15
Mother tongue,        Sino-Tibetan languages,,1805
Mother tongue,          Chinese languages,,1795
Mother tongue,            Cantonese,,555
Mother tongue,            Hakka,,5
Mother tongue,            Mandarin,,1115
Mother tongue,            Min Dong,,0
Mother tongue,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,55
Mother tongue,            Wu (Shanghainese),,25
Mother tongue,            Chinese; n.o.s.,,35
Mother tongue,            Chinese languages; n.i.e.,,0
Mother tongue,          Tibeto-Burman languages,,15
Mother tongue,            Burmese,,0
Mother tongue,            Karenic languages,,0
Mother tongue,            Tibetan,,15
Mother tongue,            Tibeto-Burman languages; n.i.e.,,0
Mother tongue,        Tai-Kadai languages,,25
Mother tongue,          Lao,,10
Mother tongue,          Thai,,20
Mother tongue,          Tai-Kadai languages; n.i.e,,0
Mother tongue,        Turkic languages,,170
Mother tongue,          Azerbaijani,,5
Mother tongue,          Turkish,,145
Mother tongue,          Uyghur,,10
Mother tongue,          Uzbek,,0
Mother tongue,          Turkic languages; n.i.e.,,5
Mother tongue,        Uralic languages,,225
Mother tongue,          Estonian,,10
Mother tongue,          Finnish,,35
Mother tongue,          Hungarian,,185
Mother tongue,          Uralic languages; n.i.e.,,0
Mother tongue,        Other languages; n.i.e.,,10
Mother tongue,  Multiple responses,,5065
Mother tongue,    English and French,,345
Mother tongue,    English and non-official language,,4470
Mother tongue,    French and non-official language,,105
Mother tongue,    English; French and non-official language,,155
Language spoken most often at home,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,,109380
Language spoken most often at home,  Single responses,,98780
Language spoken most often at home,    Official languages,,82150
Language spoken most often at home,      English,,81450
Language spoken most often at home,      French,,695
Language spoken most often at home,    Non-official languages,,16630
Language spoken most often at home,      Aboriginal languages,,0
Language spoken most often at home,        Algonquian languages,,0
Language spoken most often at home,          Blackfoot,,0
Language spoken most often at home,          Cree-Montagnais languages,,0
Language spoken most often at home,            Atikamekw,,0
Language spoken most often at home,            Montagnais (Innu),,0
Language spoken most often at home,            Moose Cree,,0
Language spoken most often at home,            Naskapi,,0
Language spoken most often at home,            Northern East Cree,,0
Language spoken most often at home,            Plains Cree,,0
Language spoken most often at home,            Southern East Cree,,0
Language spoken most often at home,            Swampy Cree,,0
Language spoken most often at home,            Woods Cree,,0
Language spoken most often at home,            Cree; n.o.s.,,0
Language spoken most often at home,          Eastern Algonquian languages,,0
Language spoken most often at home,            Malecite,,0
Language spoken most often at home,            Mi'kmaq,,0
Language spoken most often at home,          Ojibway-Potawatomi languages,,0
Language spoken most often at home,            Algonquin,,0
Language spoken most often at home,            Ojibway,,0
Language spoken most often at home,            Oji-Cree,,0
Language spoken most often at home,            Ottawa (Odawa),,0
Language spoken most often at home,          Algonquian languages; n.i.e.,,0
Language spoken most often at home,        Athabaskan languages,,0
Language spoken most often at home,          Northern Athabaskan languages,,0
Language spoken most often at home,            Babine (Wetsuwet'en),,0
Language spoken most often at home,            Beaver,,0
Language spoken most often at home,            Carrier,,0
Language spoken most often at home,            Chilcotin,,0
Language spoken most often at home,            Dene,,0
Language spoken most often at home,            Dogrib (Tlicho),,0
Language spoken most often at home,            Gwich'in,,0
Language spoken most often at home,            Sarsi (Sarcee),,0
Language spoken most often at home,            Sekani,,0
Language spoken most often at home,            Slavey-Hare languages,,0
Language spoken most often at home,              North Slavey (Hare),,0
Language spoken most often at home,              South Slavey,,0
Language spoken most often at home,              Slavey; n.o.s.,,0
Language spoken most often at home,            Tahltan languages,,0
Language spoken most often at home,              Kaska (Nahani),,0
Language spoken most often at home,              Tahltan,,0
Language spoken most often at home,            Tutchone languages,,0
Language spoken most often at home,              Northern Tutchone,,0
Language spoken most often at home,              Southern Tutchone,,0
Language spoken most often at home,          Athabaskan languages; n.i.e.,,0
Language spoken most often at home,        Haida,,0
Language spoken most often at home,        Inuit languages,,0
Language spoken most often at home,          Inuinnaqtun (Inuvialuktun),,0
Language spoken most often at home,          Inuktitut,,0
Language spoken most often at home,          Inuit languages; n.i.e.,,0
Language spoken most often at home,        Iroquoian languages,,0
Language spoken most often at home,          Cayuga,,0
Language spoken most often at home,          Mohawk,,0
Language spoken most often at home,          Oneida,,0
Language spoken most often at home,          Iroquoian languages; n.i.e.,,0
Language spoken most often at home,        Kutenai,,0
Language spoken most often at home,        Michif,,0
Language spoken most often at home,        Salish languages,,0
Language spoken most often at home,          Comox,,0
Language spoken most often at home,          Halkomelem,,0
Language spoken most often at home,          Lillooet,,0
Language spoken most often at home,          Okanagan,,0
Language spoken most often at home,          Shuswap (Secwepemctsin),,0
Language spoken most often at home,          Squamish,,0
Language spoken most often at home,          Straits,,0
Language spoken most often at home,          Thompson (Ntlakapamux),,0
Language spoken most often at home,          Salish languages; n.i.e.,,0
Language spoken most often at home,        Siouan languages,,0
Language spoken most often at home,          Dakota,,0
Language spoken most often at home,          Stoney,,0
Language spoken most often at home,          Siouan languages; n.i.e.,,0
Language spoken most often at home,        Tlingit,,0
Language spoken most often at home,        Tsimshian languages,,0
Language spoken most often at home,          Gitxsan (Gitksan),,0
Language spoken most often at home,          Nisga'a,,0
Language spoken most often at home,          Tsimshian,,0
Language spoken most often at home,        Wakashan languages,,0
Language spoken most often at home,          Haisla,,0
Language spoken most often at home,          Heiltsuk,,0
Language spoken most often at home,          Kwakiutl (Kwak'wala),,0
Language spoken most often at home,          Nuu-chah-nulth (Nootka),,0
Language spoken most often at home,          Wakashan languages; n.i.e.,,0
Language spoken most often at home,        Aboriginal languages; n.o.s.,,0
Language spoken most often at home,      Non-Aboriginal languages,,16635
Language spoken most often at home,        Afro-Asiatic languages,,1585
Language spoken most often at home,          Berber languages,,0
Language spoken most often at home,            Kabyle,,0
Language spoken most often at home,            Berber languages; n.i.e.,,0
Language spoken most often at home,          Cushitic languages,,5
Language spoken most often at home,            Bilen,,0
Language spoken most often at home,            Oromo,,0
Language spoken most often at home,            Somali,,5
Language spoken most often at home,            Cushitic languages; n.i.e.,,0
Language spoken most often at home,          Semitic languages,,1575
Language spoken most often at home,            Amharic,,5
Language spoken most often at home,            Arabic,,1475
Language spoken most often at home,            Assyrian Neo-Aramaic,,45
Language spoken most often at home,            Chaldean Neo-Aramaic,,10
Language spoken most often at home,            Harari,,0
Language spoken most often at home,            Hebrew,,10
Language spoken most often at home,            Maltese,,15
Language spoken most often at home,            Tigrigna,,5
Language spoken most often at home,            Semitic languages; n.i.e.,,5
Language spoken most often at home,          Afro-Asiatic languages; n.i.e.,,0
Language spoken most often at home,        Austro-Asiatic languages,,250
Language spoken most often at home,          Khmer (Cambodian),,5
Language spoken most often at home,          Vietnamese,,245
Language spoken most often at home,          Austro-Asiatic languages; n.i.e,,0
Language spoken most often at home,        Austronesian languages,,750
Language spoken most often at home,          Bikol,,5
Language spoken most often at home,          Cebuano,,15
Language spoken most often at home,          Fijian,,0
Language spoken most often at home,          Hiligaynon,,5
Language spoken most often at home,          Ilocano,,5
Language spoken most often at home,          Malagasy,,0
Language spoken most often at home,          Malay,,45
Language spoken most often at home,          Pampangan (Kapampangan; Pampango),,10
Language spoken most often at home,          Pangasinan,,0
Language spoken most often at home,          Tagalog (Pilipino; Filipino),,665
Language spoken most often at home,          Waray-Waray,,0
Language spoken most often at home,          Austronesian languages; n.i.e.,,5
Language spoken most often at home,        Creole languages,,40
Language spoken most often at home,          Haitian Creole,,0
Language spoken most often at home,          Creole; n.o.s.,,25
Language spoken most often at home,          Creole languages; n.i.e.,,15
Language spoken most often at home,        Dravidian languages,,635
Language spoken most often at home,          Kannada,,15
Language spoken most often at home,          Malayalam,,110
Language spoken most often at home,          Tamil,,395
Language spoken most often at home,          Telugu,,105
Language spoken most often at home,          Dravidian languages; n.i.e.,,0
Language spoken most often at home,        Hmong-Mien languages,,0
Language spoken most often at home,        Indo-European languages,,11705
Language spoken most often at home,          Albanian,,60
Language spoken most often at home,          Armenian,,10
Language spoken most often at home,          Balto-Slavic languages,,1755
Language spoken most often at home,            Baltic languages,,5
Language spoken most often at home,              Latvian,,5
Language spoken most often at home,              Lithuanian,,5
Language spoken most often at home,            Slavic languages,,1750
Language spoken most often at home,              Belarusan,,0
Language spoken most often at home,              Bosnian,,15
Language spoken most often at home,              Bulgarian,,40
Language spoken most often at home,              Croatian,,175
Language spoken most often at home,              Czech,,20
Language spoken most often at home,              Macedonian,,40
Language spoken most often at home,              Polish,,895
Language spoken most often at home,              Russian,,295
Language spoken most often at home,              Serbian,,145
Language spoken most often at home,              Serbo-Croatian,,10
Language spoken most often at home,              Slovak,,10
Language spoken most often at home,              Slovene (Slovenian),,10
Language spoken most often at home,              Ukrainian,,95
Language spoken most often at home,              Slavic languages; n.i.e.,,0
Language spoken most often at home,          Celtic languages,,0
Language spoken most often at home,            Scottish Gaelic,,0
Language spoken most often at home,            Welsh,,0
Language spoken most often at home,            Celtic languages; n.i.e.,,0
Language spoken most often at home,          Germanic languages,,90
Language spoken most often at home,            Afrikaans,,5
Language spoken most often at home,            Danish,,0
Language spoken most often at home,            Dutch,,15
Language spoken most often at home,            Frisian,,0
Language spoken most often at home,            German,,60
Language spoken most often at home,            Icelandic,,0
Language spoken most often at home,            Norwegian,,5
Language spoken most often at home,            Swedish,,5
Language spoken most often at home,            Vlaams (Flemish),,0
Language spoken most often at home,            Yiddish,,0
Language spoken most often at home,            Germanic languages; n.i.e.,,0
Language spoken most often at home,          Greek,,40
Language spoken most often at home,          Indo-Iranian languages,,7455
Language spoken most often at home,            Indo-Aryan languages,,7000
Language spoken most often at home,              Bengali,,225
Language spoken most often at home,              Gujarati,,450
Language spoken most often at home,              Hindi,,390
Language spoken most often at home,              Kashmiri,,0
Language spoken most often at home,              Konkani,,10
Language spoken most often at home,              Marathi,,40
Language spoken most often at home,              Nepali,,35
Language spoken most often at home,              Oriya (Odia),,0
Language spoken most often at home,              Punjabi (Panjabi),,1105
Language spoken most often at home,              Sindhi,,60
Language spoken most often at home,              Sinhala (Sinhalese),,55
Language spoken most often at home,              Urdu,,4635
Language spoken most often at home,            Iranian languages,,450
Language spoken most often at home,              Kurdish,,15
Language spoken most often at home,              Pashto,,95
Language spoken most often at home,              Persian (Farsi),,335
Language spoken most often at home,            Indo-Iranian languages; n.i.e.,,10
Language spoken most often at home,          Italic (Romance) languages,,2290
Language spoken most often at home,            Catalan,,0
Language spoken most often at home,            Italian,,215
Language spoken most often at home,            Portuguese,,375
Language spoken most often at home,            Romanian,,180
Language spoken most often at home,            Spanish,,1515
Language spoken most often at home,            Italic (Romance) languages; n.i.e.,,0
Language spoken most often at home,        Japanese,,20
Language spoken most often at home,        Kartvelian languages,,0
Language spoken most often at home,          Georgian,,0
Language spoken most often at home,        Korean,,225
Language spoken most often at home,        Mongolic languages,,0
Language spoken most often at home,          Mongolian,,0
Language spoken most often at home,        Niger-Congo languages,,40
Language spoken most often at home,          Akan (Twi),,20
Language spoken most often at home,          Bamanankan,,0
Language spoken most often at home,          Edo,,0
Language spoken most often at home,          Ewe,,0
Language spoken most often at home,          Fulah (Pular; Pulaar; Fulfulde),,0
Language spoken most often at home,          Ga,,0
Language spoken most often at home,          Ganda,,0
Language spoken most often at home,          Igbo,,5
Language spoken most often at home,          Lingala,,0
Language spoken most often at home,          Rundi (Kirundi),,0
Language spoken most often at home,          Kinyarwanda (Rwanda),,0
Language spoken most often at home,          Shona,,5
Language spoken most often at home,          Swahili,,0
Language spoken most often at home,          Wolof,,5
Language spoken most often at home,          Yoruba,,5
Language spoken most often at home,          Niger-Congo languages; n.i.e.,,0
Language spoken most often at home,        Nilo-Saharan languages,,0
Language spoken most often at home,          Dinka,,0
Language spoken most often at home,          Nilo-Saharan languages; n.i.e.,,0
Language spoken most often at home,        Sign languages,,140
Language spoken most often at home,          American Sign Language,,120
Language spoken most often at home,          Quebec Sign Language,,0
Language spoken most often at home,          Sign languages; n.i.e,,20
Language spoken most often at home,        Sino-Tibetan languages,,1100
Language spoken most often at home,          Chinese languages,,1095
Language spoken most often at home,            Cantonese,,275
Language spoken most often at home,            Hakka,,0
Language spoken most often at home,            Mandarin,,760
Language spoken most often at home,            Min Dong,,0
Language spoken most often at home,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,20
Language spoken most often at home,            Wu (Shanghainese),,20
Language spoken most often at home,            Chinese; n.o.s.,,20
Language spoken most often at home,            Chinese languages; n.i.e.,,0
Language spoken most often at home,          Tibeto-Burman languages,,5
Language spoken most often at home,            Burmese,,0
Language spoken most often at home,            Karenic languages,,0
Language spoken most often at home,            Tibetan,,5
Language spoken most often at home,            Tibeto-Burman languages; n.i.e.,,0
Language spoken most often at home,        Tai-Kadai languages,,10
Language spoken most often at home,          Lao,,5
Language spoken most often at home,          Thai,,5
Language spoken most often at home,          Tai-Kadai languages; n.i.e,,0
Language spoken most often at home,        Turkic languages,,90
Language spoken most often at home,          Azerbaijani,,5
Language spoken most often at home,          Turkish,,75
Language spoken most often at home,          Uyghur,,10
Language spoken most often at home,          Uzbek,,0
Language spoken most often at home,          Turkic languages; n.i.e.,,0
Language spoken most often at home,        Uralic languages,,45
Language spoken most often at home,          Estonian,,0
Language spoken most often at home,          Finnish,,0
Language spoken most often at home,          Hungarian,,50
Language spoken most often at home,          Uralic languages; n.i.e.,,0
Language spoken most often at home,        Other languages; n.i.e.,,0
Language spoken most often at home,  Multiple responses,,10600
Language spoken most often at home,    English and French,,295
Language spoken most often at home,    English and non-official language,,10000
Language spoken most often at home,    French and non-official language,,25
Language spoken most often at home,    English; French and non-official language,,270
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,,109380
Other language spoken regularly at home,  None,,86785
Other language spoken regularly at home,  English,,8755
Other language spoken regularly at home,  French,,1125
Other language spoken regularly at home,  Non-official language,,12260
Other language spoken regularly at home,    Aboriginal,,5
Other language spoken regularly at home,    Non-Aboriginal,,12255
Other language spoken regularly at home,  English and French,,110
Other language spoken regularly at home,  English and non-official language,,195
Other language spoken regularly at home,  French and non-official language,,150
Other language spoken regularly at home,  English; French and non-official language,,5
