Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,34260
Income of households in 2015,  Under $5;000,355
Income of households in 2015,  $5;000 to $9;999,175
Income of households in 2015,  $10;000 to $14;999,290
Income of households in 2015,  $15;000 to $19;999,425
Income of households in 2015,  $20;000 to $24;999,595
Income of households in 2015,  $25;000 to $29;999,675
Income of households in 2015,  $30;000 to $34;999,755
Income of households in 2015,  $35;000 to $39;999,965
Income of households in 2015,  $40;000 to $44;999,1105
Income of households in 2015,  $45;000 to $49;999,1110
Income of households in 2015,  $50;000 to $59;999,2520
Income of households in 2015,  $60;000 to $69;999,2710
Income of households in 2015,  $70;000 to $79;999,2905
Income of households in 2015,  $80;000 to $89;999,2905
Income of households in 2015,  $90;000 to $99;999,2775
Income of households in 2015,  $100;000 and over,13995
Income of households in 2015,    $100;000 to $124;999,5720
Income of households in 2015,    $125;000 to $149;999,3695
Income of households in 2015,    $150;000 and over,4580
Household characteristics,Total - Private households by tenure - 25% sample data,34260
Household characteristics,  Owner,29415
Household characteristics,  Renter,4840
Household characteristics,  Band housing,0
Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,34260
Household characteristics,  Condominium,3190
Household characteristics,  Not condominium,31070
Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,34255
Household characteristics,  No bedrooms,10
Household characteristics,  1 bedroom,1285
Household characteristics,  2 bedrooms,3460
Household characteristics,  3 bedrooms,15035
Household characteristics,  4 or more bedrooms,14465
Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,34255
Household characteristics,  1 to 4 rooms,4285
Household characteristics,  5 rooms,4685
Household characteristics,  6 rooms,6145
Household characteristics,  7 rooms,6490
Household characteristics,  8 or more rooms,12650
Household characteristics,Average number of rooms per dwelling,7
Household characteristics,Total - Private households by number of persons per room - 25% sample data,34255
Household characteristics,  One person or fewer per room,33385
Household characteristics,  More than 1 person per room,875
Household characteristics,Total - Private households by housing suitability - 25% sample data,34260
Household characteristics,  Suitable,32725
Household characteristics,  Not suitable,1530
Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,34260
Household characteristics,  1960 or before,2130
Household characteristics,  1961 to 1980,5490
Household characteristics,  1981 to 1990,1885
Household characteristics,  1991 to 2000,970
Household characteristics,  2001 to 2005,6810
Household characteristics,  2006 to 2010,9400
Household characteristics,  2011 to 2016,7570
Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,34255
Household characteristics,  Only regular maintenance or minor repairs needed,33355
Household characteristics,  Major repairs needed,905
Household characteristics,Total - Private households by number of household maintainers - 25% sample data,34255
Household characteristics,  1 household maintainer,15715
Household characteristics,  2 household maintainers,17710
Household characteristics,  3 or more household maintainers,830
Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,34255
Household characteristics,  15 to 24 years,165
Household characteristics,  25 to 34 years,5075
Household characteristics,  35 to 44 years,10695
Household characteristics,  45 to 54 years,8395
Household characteristics,  55 to 64 years,5010
Household characteristics,  65 to 74 years,3225
Household characteristics,  75 to 84 years,1210
Household characteristics,  85 years and over,480
Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,34055
Household characteristics,  Spending less than 30% of income on shelter costs,25555
Household characteristics,  Spending 30% or more of income on shelter costs,8505
Household characteristics,    30% to less than 100%,7610
Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,29265
Household characteristics,  % of owner households with a mortgage,80.6
Household characteristics,  % of owner households spending 30% or more of its income on shelter costs,22
Household characteristics,  Median monthly shelter costs for owned dwellings ($),1917
Household characteristics,  Average monthly shelter costs for owned dwellings ($),1875
Household characteristics,  Median value of dwellings ($),598650
Household characteristics,  Average value of dwellings ($),622911
Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,4835
Household characteristics,  % of tenant households in subsidized housing,7.5
Household characteristics,  % of tenant households spending 30% or more of its income on shelter costs,42.8
Household characteristics,  Median monthly shelter costs for rented dwellings ($),1615
Household characteristics,  Average monthly shelter costs for rented dwellings ($),1522
Labour force status,Total - Population aged 15 years and over by Labour force status - 25% sample data,80560
Labour force status,  In the labour force,59815
Labour force status,    Employed,56485
Labour force status,    Unemployed,3330
Labour force status,  Not in the labour force,20740
Labour force status,Participation rate,74.2
Labour force status,Employment rate,70.1
Labour force status,Unemployment rate,5.6
